timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,intermediate_response_code,intermediate_response_name,details
2026-08-19T10:21:31.552-07:00,,controller_started,internal,controller,started,,controller,,,,,,,,,
2026-08-19T10:21:31.556-07:00,,serial_open,internal,serial_port,ok,/dev/ttyUSB0,controller,,,,,,,,,
2026-08-19T10:21:31.557-07:00,,communication_started,internal,cta2045,started,,controller,,,,,,,,,
2026-08-19T10:21:31.557-07:00,,query_sent,outbound,device_information,pending,,startup,1,1,,,,,,,
2026-08-19T10:21:31.707-07:00,,link_ack,inbound,device_information,ack,,link_layer,,,,,,,,,
2026-08-19T10:21:31.835-07:00,,intermediate_response,inbound,device_information,success,,device_response,1,129,,,,,0,success,
2026-08-19T10:21:31.876-07:00,,query_completed,outbound,device_information,ok,,startup,1,1,,,,,0,success,
2026-08-19T10:21:31.876-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,,,
2026-08-19T10:21:32.027-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,,,
2026-08-19T10:21:32.155-07:00,,intermediate_response,inbound,get_commodity,success,,device_response,6,128,,,,,0,success,
2026-08-19T10:21:32.196-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,0,success,
2026-08-19T10:21:32.196-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-19T10:21:32.347-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-19T10:21:32.443-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,,,
2026-08-19T10:21:32.483-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-19T10:21:33.483-07:00,auto_outside_comm_for_load_up_1,command_sent,outbound,outside_communication1,pending,0,schedule,14,0,,,,,,,
2026-08-19T10:21:33.531-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,,,
2026-08-19T10:21:33.643-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,,,
2026-08-19T10:21:33.683-07:00,auto_outside_comm_for_load_up_1,command_completed,outbound,outside_communication1,ok,0,schedule,14,0,,,,,,,
2026-08-19T10:21:47.689-07:00,load_up_1,command_sent,outbound,load_up,pending,0,schedule,23,0,,,,,,,
2026-08-19T10:21:47.752-07:00,,link_ack,inbound,load_up,ack,,link_layer,23,,,,,,,,
2026-08-19T10:21:47.864-07:00,,application_ack,inbound,load_up,ack,,application_layer,3,23,,,,,,,
2026-08-19T10:21:47.905-07:00,load_up_1,command_completed,outbound,load_up,ok,0,schedule,23,0,,,,,,,
