event_id,scheduled_utc,offset_seconds,action,command_code,duration_byte,requested_duration_seconds,represented_duration_seconds,advanced_duration_minutes,advanced_value,advanced_units,expected_operational_states,generated,prerequisite_for
auto_outside_comm_for_load_up_1,2026-07-28T00:19:34Z,-15,outside_communication,o,,,,,,,,true,load_up_1
load_up_1,2026-07-28T00:19:49Z,0,load_up,l,13,300,338,,,,3|6,false,
auto_outside_comm_for_run_normal_1,2026-07-28T00:26:34Z,405,outside_communication,o,,,,,,,,true,run_normal_1
run_normal_1,2026-07-28T00:26:49Z,420,run_normal,e,10,180,200,,,,0|1,false,
auto_outside_comm_for_critical_peak_1,2026-07-28T00:31:34Z,705,outside_communication,o,,,,,,,,true,critical_peak_1
critical_peak_1,2026-07-28T00:31:49Z,720,critical_peak,c,15,420,450,,,,2|4,false,
auto_outside_comm_for_run_normal_2,2026-07-28T00:41:34Z,1305,outside_communication,o,,,,,,,,true,run_normal_2
run_normal_2,2026-07-28T00:41:49Z,1320,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_shed_1,2026-07-28T00:44:34Z,1485,outside_communication,o,,,,,,,,true,shed_1
shed_1,2026-07-28T00:44:49Z,1500,shed,s,13,300,338,,,,2|4,false,
auto_outside_comm_for_run_normal_3,2026-07-28T00:54:34Z,2085,outside_communication,o,,,,,,,,true,run_normal_3
run_normal_3,2026-07-28T00:54:49Z,2100,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_grid_emergency_1,2026-07-28T00:56:34Z,2205,outside_communication,o,,,,,,,,true,grid_emergency_1
grid_emergency_1,2026-07-28T00:56:49Z,2220,grid_emergency,g,13,300,338,,,,2|4,false,
auto_outside_comm_for_run_normal_4,2026-07-28T01:06:34Z,2805,outside_communication,o,,,,,,,,true,run_normal_4
run_normal_4,2026-07-28T01:06:49Z,2820,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_advanced_load_up_1,2026-07-28T01:08:34Z,2925,outside_communication,o,,,,,,,,true,advanced_load_up_1
advanced_load_up_1,2026-07-28T01:08:49Z,2940,advanced_load_up,a,,,,0,5,2,3|6,false,
auto_outside_comm_for_run_normal_5,2026-07-28T01:10:34Z,3045,outside_communication,o,,,,,,,,true,run_normal_5
run_normal_5,2026-07-28T01:10:49Z,3060,run_normal,e,0,,,,,,0|1,false,
