timestamp_pacific,monitor_elapsed_seconds,status,record_reason,voltage_rms,current_rms,real_power,reactive_power,apparent_power,power_factor
2026-08-10T13:37:56.999-07:00,0.001,ok,initial_sample,241.277,0.000,4.017,13.055,13.724,0.292
2026-08-10T13:38:31.170-07:00,34.168,ok,current_change|power_change|heater_on,240.947,0.232,50.210,45.189,67.616,0.742
2026-08-10T13:39:31.504-07:00,94.503,ok,heartbeat,240.955,0.210,48.201,38.829,62.260,0.779
2026-08-10T13:39:34.523-07:00,97.521,ok,current_change|power_change,240.895,1.051,214.897,153.976,264.772,0.812
2026-08-10T13:39:36.535-07:00,99.534,ok,current_change|power_change,240.964,1.199,255.735,157.658,300.589,0.851
2026-08-10T13:39:38.548-07:00,101.546,ok,current_change,240.756,1.306,283.852,160.336,326.028,0.870
2026-08-10T13:39:44.583-07:00,107.581,ok,current_change,240.738,1.410,313.978,156.320,351.133,0.895
2026-08-10T13:39:48.607-07:00,111.605,ok,current_change,240.764,1.540,344.773,165.692,382.598,0.900
2026-08-10T13:40:04.701-07:00,127.699,ok,current_change,240.677,1.438,319.334,161.340,357.828,0.892
2026-08-10T13:41:05.044-07:00,188.043,ok,heartbeat,240.773,1.387,305.275,161.340,345.443,0.883
