# time,command,argument,event_id,value,units,efficiency
1786872900,o,,auto_outside_comm_for_advanced_load_up_1,,,
1786872915,a,0,advanced_load_up_1,100,2,1
1786873710,o,,auto_outside_comm_heartbeat_01,,,
1786874520,o,,auto_outside_comm_heartbeat_02,,,
1786875330,o,,auto_outside_comm_heartbeat_03,,,
1786876140,o,,auto_outside_comm_heartbeat_04,,,
1786876950,o,,auto_outside_comm_heartbeat_05,,,
1786877760,o,,auto_outside_comm_heartbeat_06,,,
1786878570,o,,auto_outside_comm_heartbeat_07,,,
1786879380,o,,auto_outside_comm_heartbeat_08,,,
1786880190,o,,auto_outside_comm_heartbeat_09,,,
1786881000,o,,auto_outside_comm_heartbeat_10,,,
1786881810,o,,auto_outside_comm_heartbeat_11,,,
1786881900,o,,auto_outside_comm_for_shed_1,,,
1786881915,s,0,shed_1,,,
1786882620,o,,auto_outside_comm_heartbeat_12,,,
1786883430,o,,auto_outside_comm_heartbeat_13,,,
1786884240,o,,auto_outside_comm_heartbeat_14,,,
1786885050,o,,auto_outside_comm_heartbeat_15,,,
1786885860,o,,auto_outside_comm_heartbeat_16,,,
1786886670,o,,auto_outside_comm_heartbeat_17,,,
1786887480,o,,auto_outside_comm_heartbeat_18,,,
1786888290,o,,auto_outside_comm_heartbeat_19,,,
1786889100,o,,auto_outside_comm_heartbeat_20,,,
1786889910,o,,auto_outside_comm_heartbeat_21,,,
1786890720,o,,auto_outside_comm_heartbeat_22,,,
1786891530,o,,auto_outside_comm_heartbeat_23,,,
1786892340,o,,auto_outside_comm_heartbeat_24,,,
1786893150,o,,auto_outside_comm_heartbeat_25,,,
1786893300,o,,auto_outside_comm_for_advanced_load_up_2,,,
1786893315,a,0,advanced_load_up_2,100,2,9
1786893960,o,,auto_outside_comm_heartbeat_26,,,
1786894770,o,,auto_outside_comm_heartbeat_27,,,
1786895580,o,,auto_outside_comm_heartbeat_28,,,
1786896390,o,,auto_outside_comm_heartbeat_29,,,
1786896900,o,,auto_outside_comm_for_run_normal_1,,,
1786896915,e,0,run_normal_1,,,
1786897200,o,,auto_outside_comm_heartbeat_30,,,
1786898010,o,,auto_outside_comm_heartbeat_31,,,
