# time,command,argument,event_id,value,units,efficiency
1786662863,o,,auto_outside_comm_for_advanced_load_up_1,,,
1786662878,a,150,advanced_load_up_1,100,2,
1786663673,o,,auto_outside_comm_heartbeat_01,,,
1786664483,o,,auto_outside_comm_heartbeat_02,,,
1786665293,o,,auto_outside_comm_heartbeat_03,,,
1786666103,o,,auto_outside_comm_heartbeat_04,,,
1786666913,o,,auto_outside_comm_heartbeat_05,,,
1786667723,o,,auto_outside_comm_heartbeat_06,,,
1786668533,o,,auto_outside_comm_heartbeat_07,,,
1786669343,o,,auto_outside_comm_heartbeat_08,,,
1786670153,o,,auto_outside_comm_heartbeat_09,,,
1786670963,o,,auto_outside_comm_heartbeat_10,,,
1786671773,o,,auto_outside_comm_heartbeat_11,,,
1786671863,o,,auto_outside_comm_for_shed_1,,,
1786671878,s,0,shed_1,,,
1786672583,o,,auto_outside_comm_heartbeat_12,,,
1786673393,o,,auto_outside_comm_heartbeat_13,,,
1786674203,o,,auto_outside_comm_heartbeat_14,,,
1786675013,o,,auto_outside_comm_heartbeat_15,,,
1786675823,o,,auto_outside_comm_heartbeat_16,,,
1786676633,o,,auto_outside_comm_heartbeat_17,,,
1786677443,o,,auto_outside_comm_heartbeat_18,,,
1786678253,o,,auto_outside_comm_heartbeat_19,,,
1786679063,o,,auto_outside_comm_heartbeat_20,,,
1786679873,o,,auto_outside_comm_heartbeat_21,,,
1786680683,o,,auto_outside_comm_heartbeat_22,,,
1786681493,o,,auto_outside_comm_heartbeat_23,,,
1786682303,o,,auto_outside_comm_heartbeat_24,,,
1786683113,o,,auto_outside_comm_heartbeat_25,,,
1786683263,o,,auto_outside_comm_for_advanced_load_up_2,,,
1786683278,a,60,advanced_load_up_2,100,2,9
1786683923,o,,auto_outside_comm_heartbeat_26,,,
1786684733,o,,auto_outside_comm_heartbeat_27,,,
1786685543,o,,auto_outside_comm_heartbeat_28,,,
1786686353,o,,auto_outside_comm_heartbeat_29,,,
1786686863,o,,auto_outside_comm_for_run_normal_1,,,
1786686878,e,0,run_normal_1,,,
1786687163,o,,auto_outside_comm_heartbeat_30,,,
1786687973,o,,auto_outside_comm_heartbeat_31,,,
