event_id,timestamp_pacific,draw_elapsed_seconds,status,stop_reason,valve_state,target_volume_gal,accumulated_volume_gal,flow_gpm,hot_temp_c,hot_temp_f,cold_temp_c,cold_temp_f,ambient_temp_c,ambient_temp_f,hot_raw_counts,cold_raw_counts,flow_raw_counts,ambient_raw_counts,cold_source_station,cold_source_timestamp_pacific
water_draw_1,2026-08-31T19:25:14.052-07:00,0.000,drawing,,open,,0.000000,0.215313,23.75,74.75,23.54,74.38,24.10,75.38,1188,1186,483,241,WH-station1,2026-08-31T19:25:14.048-07:00
water_draw_1,2026-08-31T19:25:14.554-07:00,1.003,drawing,,open,,0.058263,3.487083,23.85,74.94,23.65,74.56,24.20,75.56,1189,1187,1124,242,WH-station1,2026-08-31T19:25:14.550-07:00
water_draw_1,2026-08-31T19:25:15.056-07:00,1.505,drawing,,open,,0.088339,3.594271,23.75,74.75,23.75,74.75,24.10,75.38,1188,1188,1145,241,WH-station1,2026-08-31T19:25:15.051-07:00
water_draw_1,2026-08-31T19:25:15.559-07:00,2.007,drawing,,open,,0.118070,3.553438,23.96,75.12,23.44,74.19,24.00,75.20,1190,1185,1137,240,WH-station1,2026-08-31T19:25:15.553-07:00
water_draw_1,2026-08-31T19:25:16.061-07:00,2.509,drawing,,open,,0.147120,3.471771,24.37,75.87,23.44,74.19,24.10,75.38,1194,1185,1121,241,WH-station1,2026-08-31T19:25:16.055-07:00
water_draw_1,2026-08-31T19:25:16.563-07:00,3.011,drawing,,open,,0.175528,3.395208,24.58,76.25,23.54,74.38,24.00,75.20,1196,1186,1106,240,WH-station1,2026-08-31T19:25:16.557-07:00
water_draw_1,2026-08-31T19:25:17.065-07:00,3.513,drawing,,open,,0.203560,3.349271,25.31,77.56,23.54,74.38,24.00,75.20,1203,1186,1097,240,WH-station1,2026-08-31T19:25:17.059-07:00
water_draw_1,2026-08-31T19:25:17.570-07:00,4.015,drawing,,open,,0.231288,3.313542,25.73,78.31,23.65,74.56,24.00,75.20,1207,1187,1090,240,WH-station1,2026-08-31T19:25:17.563-07:00
water_draw_1,2026-08-31T19:25:18.075-07:00,4.520,drawing,,open,,0.258930,3.282917,26.35,79.44,23.65,74.56,24.10,75.38,1213,1187,1084,241,WH-station1,2026-08-31T19:25:18.068-07:00
water_draw_1,2026-08-31T19:25:18.580-07:00,5.025,drawing,,open,,0.286700,3.298229,26.98,80.56,23.75,74.75,24.00,75.20,1219,1188,1087,240,WH-station1,2026-08-31T19:25:18.573-07:00
