# time,command,argument,event_id,value,units,efficiency
1788380827,o,,auto_outside_comm_for_grid_emergency_1,,,
1788380842,g,0,grid_emergency_1,,,
1788381427,o,,auto_outside_comm_heartbeat_01,,,
1788382027,o,,auto_outside_comm_heartbeat_02,,,
1788382627,o,,auto_outside_comm_heartbeat_03,,,
1788383227,o,,auto_outside_comm_heartbeat_04,,,
1788383827,o,,auto_outside_comm_heartbeat_05,,,
1788384427,o,,auto_outside_comm_heartbeat_06,,,
1788385027,o,,auto_outside_comm_heartbeat_07,,,
1788385627,o,,auto_outside_comm_heartbeat_08,,,
1788386227,o,,auto_outside_comm_heartbeat_09,,,
1788386827,o,,auto_outside_comm_heartbeat_10,,,
1788387427,o,,auto_outside_comm_heartbeat_11,,,
1788388027,o,,auto_outside_comm_heartbeat_12,,,
1788388627,o,,auto_outside_comm_heartbeat_13,,,
1788389227,o,,auto_outside_comm_heartbeat_14,,,
1788389827,o,,auto_outside_comm_heartbeat_15,,,
1788390427,o,,auto_outside_comm_heartbeat_16,,,
1788391027,o,,auto_outside_comm_heartbeat_17,,,
1788391627,o,,auto_outside_comm_heartbeat_18,,,
1788392227,o,,auto_outside_comm_heartbeat_19,,,
1788392827,o,,auto_outside_comm_heartbeat_20,,,
1788393427,o,,auto_outside_comm_heartbeat_21,,,
1788394027,o,,auto_outside_comm_heartbeat_22,,,
1788394627,o,,auto_outside_comm_heartbeat_23,,,
1788395227,o,,auto_outside_comm_heartbeat_24,,,
1788395827,o,,auto_outside_comm_heartbeat_25,,,
1788396427,o,,auto_outside_comm_heartbeat_26,,,
1788397027,o,,auto_outside_comm_heartbeat_27,,,
1788397627,o,,auto_outside_comm_heartbeat_28,,,
1788398227,o,,auto_outside_comm_heartbeat_29,,,
1788398827,o,,auto_outside_comm_heartbeat_30,,,
1788399427,o,,auto_outside_comm_heartbeat_31,,,
1788400027,o,,auto_outside_comm_heartbeat_32,,,
1788400627,o,,auto_outside_comm_heartbeat_33,,,
1788401227,o,,auto_outside_comm_heartbeat_34,,,
1788401827,o,,auto_outside_comm_heartbeat_35,,,
1788402427,o,,auto_outside_comm_heartbeat_36,,,
1788403027,o,,auto_outside_comm_heartbeat_37,,,
1788403627,o,,auto_outside_comm_heartbeat_38,,,
1788404227,o,,auto_outside_comm_heartbeat_39,,,
1788404827,o,,auto_outside_comm_heartbeat_40,,,
1788405427,o,,auto_outside_comm_heartbeat_41,,,
1788406027,o,,auto_outside_comm_heartbeat_42,,,
1788406627,o,,auto_outside_comm_heartbeat_43,,,
1788407227,o,,auto_outside_comm_heartbeat_44,,,
1788407827,o,,auto_outside_comm_heartbeat_45,,,
1788408427,o,,auto_outside_comm_heartbeat_46,,,
1788409027,o,,auto_outside_comm_heartbeat_47,,,
1788409627,o,,auto_outside_comm_heartbeat_48,,,
1788410227,o,,auto_outside_comm_heartbeat_49,,,
1788410827,o,,auto_outside_comm_heartbeat_50,,,
1788411427,o,,auto_outside_comm_heartbeat_51,,,
1788412027,o,,auto_outside_comm_heartbeat_52,,,
1788412627,o,,auto_outside_comm_heartbeat_53,,,
1788413227,o,,auto_outside_comm_heartbeat_54,,,
1788413827,o,,auto_outside_comm_heartbeat_55,,,
1788414427,o,,auto_outside_comm_heartbeat_56,,,
1788415027,o,,auto_outside_comm_heartbeat_57,,,
1788415627,o,,auto_outside_comm_heartbeat_58,,,
1788416227,o,,auto_outside_comm_heartbeat_59,,,
1788416827,o,,auto_outside_comm_heartbeat_60,,,
1788417427,o,,auto_outside_comm_heartbeat_61,,,
1788418027,o,,auto_outside_comm_heartbeat_62,,,
1788418627,o,,auto_outside_comm_heartbeat_63,,,
1788419227,o,,auto_outside_comm_heartbeat_64,,,
1788419827,o,,auto_outside_comm_heartbeat_65,,,
1788420427,o,,auto_outside_comm_heartbeat_66,,,
1788421027,o,,auto_outside_comm_heartbeat_67,,,
1788421627,o,,auto_outside_comm_heartbeat_68,,,
1788422227,o,,auto_outside_comm_heartbeat_69,,,
1788422827,o,,auto_outside_comm_heartbeat_70,,,
1788423427,o,,auto_outside_comm_heartbeat_71,,,
1788424027,o,,auto_outside_comm_heartbeat_72,,,
1788424627,o,,auto_outside_comm_heartbeat_73,,,
1788425227,o,,auto_outside_comm_heartbeat_74,,,
1788425827,o,,auto_outside_comm_heartbeat_75,,,
1788426427,o,,auto_outside_comm_heartbeat_76,,,
1788427027,o,,auto_outside_comm_heartbeat_77,,,
1788427627,o,,auto_outside_comm_heartbeat_78,,,
1788428227,o,,auto_outside_comm_heartbeat_79,,,
1788428827,o,,auto_outside_comm_heartbeat_80,,,
1788429427,o,,auto_outside_comm_heartbeat_81,,,
1788430027,o,,auto_outside_comm_heartbeat_82,,,
1788430627,o,,auto_outside_comm_heartbeat_83,,,
1788431227,o,,auto_outside_comm_heartbeat_84,,,
1788431827,o,,auto_outside_comm_heartbeat_85,,,
1788432427,o,,auto_outside_comm_heartbeat_86,,,
1788433027,o,,auto_outside_comm_heartbeat_87,,,
1788433627,o,,auto_outside_comm_heartbeat_88,,,
1788434227,o,,auto_outside_comm_heartbeat_89,,,
1788434827,o,,auto_outside_comm_heartbeat_90,,,
1788435427,o,,auto_outside_comm_heartbeat_91,,,
1788436027,o,,auto_outside_comm_heartbeat_92,,,
1788436627,o,,auto_outside_comm_heartbeat_93,,,
1788437227,o,,auto_outside_comm_heartbeat_94,,,
1788437827,o,,auto_outside_comm_heartbeat_95,,,
1788438427,o,,auto_outside_comm_heartbeat_96,,,
