phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up,2026-08-27 11:41:43.659000,0:00,0:00,Command accepted,Accepted,CTA
Load Up,2026-08-27 11:41:55.420000,0:12,0:12,Fan started,"0.24 A, 53 W (inferred)",Power monitor
Load Up,2026-08-27 11:42:59.774000,1:16,1:04,Compressor started,"1.11 A, 228 W (inferred)",Power monitor
Load Up,2026-08-27 11:44:58.266000,3:15,1:58,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up,2026-08-27 11:45:28,3:44,0:30,EnergyTake first changed,525 to 825 Wh,Commodity poll
Load Up,2026-08-27 12:27:50.513000,46:07,42:23,Fan/load stopped,"0.18 A, 43 W (inferred)",Power monitor
Load Up,2026-08-27 12:31:27.699000,49:44,3:37,Fan started,"0.20 A, 47 W (inferred)",Power monitor
Load Up,2026-08-27 12:32:31.047000,50:47,1:03,Compressor started,"1.20 A, 260 W (inferred)",Power monitor
Load Up,2026-08-27 12:38:03.879000,56:20,5:33,Fan/load stopped,"0.17 A, 40 W (inferred)",Power monitor
Load Up,2026-08-27 12:41:41.062000,59:57,3:37,Fan started,"0.21 A, 47 W (inferred)",Power monitor
Load Up,2026-08-27 12:42:44.409000,1:01:01,1:03,Compressor started,"1.16 A, 258 W (inferred)",Power monitor
Load Up,2026-08-27 12:46:32.661000,1:04:49,3:48,Fan/load stopped,"0.18 A, 43 W (inferred)",Power monitor
Normal,2026-08-27 13:11:43.308000,0:00,25:11,Command accepted,Accepted,CTA
Normal,2026-08-27 13:11:58.523000,0:15,0:15,Expected operational state first observed,State 0: Idle Normal (expected 0 or 1),CTA state poll
Normal,2026-08-27 13:16:43.207000,5:00,4:45,water_draw_1 started,Temperature drop target 15 °F,Water draw
Normal,2026-08-27 13:20:28,8:45,3:45,EnergyTake first changed,0 to 375 Wh,Commodity poll
Normal,2026-08-27 13:21:27.101000,9:44,0:59,Fan started,"0.23 A, 49 W (inferred)",Power monitor
Normal,2026-08-27 13:22:30.460000,10:47,1:03,Compressor started,"1.40 A, 309 W (inferred)",Power monitor
Normal,2026-08-27 13:29:26.775000,17:43,6:56,Compressor and element operating,"23.09 A, 5491 W (inferred)",Power monitor
Normal,2026-08-27 13:31:00.209000,19:17,1:33,water_draw_1 completed,Measured 45.78 gal,Water draw
