# time,command,argument,event_id,value,units
1785198155,o,,auto_outside_comm_for_load_up_1,,
1785198170,l,13,load_up_1,,
1785198575,o,,auto_outside_comm_for_run_normal_1,,
1785198590,e,10,run_normal_1,,
1785198875,o,,auto_outside_comm_for_critical_peak_1,,
1785198890,c,15,critical_peak_1,,
1785199475,o,,auto_outside_comm_for_run_normal_2,,
1785199490,e,0,run_normal_2,,
1785199655,o,,auto_outside_comm_for_shed_1,,
1785199670,s,13,shed_1,,
1785200255,o,,auto_outside_comm_for_run_normal_3,,
1785200270,e,0,run_normal_3,,
1785200375,o,,auto_outside_comm_for_grid_emergency_1,,
1785200390,g,13,grid_emergency_1,,
1785200975,o,,auto_outside_comm_for_run_normal_4,,
1785200990,e,0,run_normal_4,,
1785201095,o,,auto_outside_comm_for_advanced_load_up_1,,
1785201110,a,0,advanced_load_up_1,5,2
1785201215,o,,auto_outside_comm_for_run_normal_5,,
1785201230,e,0,run_normal_5,,
