# time,command,argument,event_id,value,units
1785885453,o,,auto_outside_comm_for_load_up_1,,
1785885468,l,0,load_up_1,,
1785886263,o,,auto_outside_comm_heartbeat_01,,
1785887073,o,,auto_outside_comm_heartbeat_02,,
1785887883,o,,auto_outside_comm_heartbeat_03,,
1785888693,o,,auto_outside_comm_heartbeat_04,,
1785889503,o,,auto_outside_comm_heartbeat_05,,
1785890313,o,,auto_outside_comm_heartbeat_06,,
1785890853,o,,auto_outside_comm_for_shed_1,,
1785890868,s,0,shed_1,,
1785891123,o,,auto_outside_comm_heartbeat_07,,
1785891933,o,,auto_outside_comm_heartbeat_08,,
1785892743,o,,auto_outside_comm_heartbeat_09,,
1785893553,o,,auto_outside_comm_heartbeat_10,,
1785894363,o,,auto_outside_comm_heartbeat_11,,
1785895173,o,,auto_outside_comm_heartbeat_12,,
1785895983,o,,auto_outside_comm_heartbeat_13,,
1785896793,o,,auto_outside_comm_heartbeat_14,,
1785897603,o,,auto_outside_comm_heartbeat_15,,
1785898413,o,,auto_outside_comm_heartbeat_16,,
1785899223,o,,auto_outside_comm_heartbeat_17,,
1785900033,o,,auto_outside_comm_heartbeat_18,,
1785900843,o,,auto_outside_comm_heartbeat_19,,
1785901653,o,,auto_outside_comm_heartbeat_20,,
1785902253,o,,auto_outside_comm_for_load_up_2,,
1785902268,l,0,load_up_2,,
1785902463,o,,auto_outside_comm_heartbeat_21,,
1785903273,o,,auto_outside_comm_heartbeat_22,,
1785904083,o,,auto_outside_comm_heartbeat_23,,
1785904893,o,,auto_outside_comm_heartbeat_24,,
1785905703,o,,auto_outside_comm_heartbeat_25,,
1785905853,o,,auto_outside_comm_for_run_normal_1,,
1785905868,e,0,run_normal_1,,
1785906513,o,,auto_outside_comm_heartbeat_26,,
