event_id,timestamp_pacific,draw_elapsed_seconds,status,stop_reason,valve_state,target_volume_gal,accumulated_volume_gal,flow_gpm,hot_temp_c,hot_temp_f,cold_temp_c,cold_temp_f,ambient_temp_c,ambient_temp_f,hot_raw_counts,cold_raw_counts,flow_raw_counts,ambient_raw_counts,cold_source_station,cold_source_timestamp_pacific
water_draw_3,2026-08-15T03:06:33.180-07:00,1.360,drawing,,open,9.0,0.004186,0.184688,28.12,82.62,24.37,75.87,25.10,77.18,1230,1194,477,251,WH-station1,2026-08-15T03:06:33.176-07:00
water_draw_3,2026-08-15T03:06:33.682-07:00,2.362,drawing,,open,9.0,0.060739,3.385000,28.23,82.81,24.17,75.50,25.00,77.00,1231,1192,1104,250,WH-station1,2026-08-15T03:06:33.678-07:00
water_draw_3,2026-08-15T03:06:34.184-07:00,2.864,drawing,,open,9.0,0.090216,3.522812,28.33,83.00,23.96,75.12,25.20,77.36,1232,1190,1131,252,WH-station1,2026-08-15T03:06:34.180-07:00
water_draw_3,2026-08-15T03:06:34.686-07:00,3.366,drawing,,open,9.0,0.120250,3.589167,28.44,83.19,24.27,75.69,24.80,76.64,1233,1193,1144,248,WH-station1,2026-08-15T03:06:34.682-07:00
water_draw_3,2026-08-15T03:06:35.188-07:00,3.868,drawing,,open,9.0,0.149853,3.538125,27.92,82.25,24.48,76.06,25.30,77.54,1228,1195,1134,253,WH-station1,2026-08-15T03:06:35.184-07:00
water_draw_3,2026-08-15T03:06:35.697-07:00,4.370,drawing,,open,9.0,0.179122,3.497292,27.92,82.25,24.48,76.06,25.20,77.36,1228,1195,1126,252,WH-station1,2026-08-15T03:06:35.686-07:00
water_draw_3,2026-08-15T03:06:36.234-07:00,4.879,drawing,,open,9.0,0.208410,3.456458,28.33,83.00,24.17,75.50,25.30,77.54,1232,1192,1118,253,WH-station1,2026-08-15T03:06:36.188-07:00
water_draw_3,2026-08-15T03:06:36.765-07:00,5.417,drawing,,open,9.0,0.238806,3.390104,28.54,83.38,24.48,76.06,25.10,77.18,1234,1195,1105,251,WH-station1,2026-08-15T03:06:36.690-07:00
water_draw_3,2026-08-15T03:06:37.274-07:00,5.947,drawing,,open,9.0,0.268503,3.359479,29.17,84.50,24.58,76.25,25.00,77.00,1240,1196,1099,250,WH-station1,2026-08-15T03:06:37.194-07:00
water_draw_3,2026-08-15T03:06:37.781-07:00,6.456,drawing,,open,9.0,0.296652,3.318646,29.90,85.81,24.17,75.50,25.00,77.00,1247,1192,1091,250,WH-station1,2026-08-15T03:06:37.699-07:00
water_draw_3,2026-08-15T03:06:38.289-07:00,6.963,drawing,,open,9.0,0.324150,3.252292,30.52,86.94,24.17,75.50,25.10,77.18,1253,1192,1078,251,WH-station1,2026-08-15T03:06:38.204-07:00
