timestamp_pacific,response_code,response_name,electricity_commodity_code,cumulative_electricity_Wh,instantaneous_electricity_W,total_storage_commodity_code,total_energy_storage_Wh,present_storage_commodity_code,present_energy_storage_Wh,advanced_total_storage_commodity_code,advanced_total_energy_storage_Wh,advanced_present_storage_commodity_code,advanced_present_energy_storage_Wh,operational_state
2026-08-12 18:48:20,0,success,0,368277,0,6,2202,7,210,10,2412,11,420,6
2026-08-12 18:49:21,0,success,0,368277,0,6,2202,7,210,10,2412,11,420,3
2026-08-12 18:50:21,0,success,0,368277,0,6,2202,7,240,10,2412,11,450,3
2026-08-12 18:51:20,0,success,0,368283,356,6,2202,7,210,10,2412,11,420,3
2026-08-12 18:52:20,0,success,0,368289,356,6,2202,7,240,10,2412,11,450,3
2026-08-12 18:53:20,0,success,0,368295,356,6,2202,7,300,10,2412,11,510,3
2026-08-12 18:54:21,0,success,0,368301,356,6,2202,7,360,10,2412,11,570,3
2026-08-12 18:55:21,0,success,0,368307,356,6,2202,7,330,10,2412,11,540,3
2026-08-12 18:56:21,0,success,0,368313,356,6,2202,7,270,10,2412,11,480,3
2026-08-12 18:57:20,0,success,0,368319,356,6,2202,7,210,10,2412,11,420,3
2026-08-12 18:58:20,0,success,0,368325,356,6,2202,7,150,10,2412,11,360,3
2026-08-12 18:59:20,0,success,0,368331,356,6,2202,7,120,10,2412,11,330,3
2026-08-12 19:00:21,0,success,0,368337,356,6,2202,7,90,10,2412,11,300,3
2026-08-12 19:01:21,0,success,0,368343,356,6,2202,7,90,10,2412,11,300,3
2026-08-12 19:02:21,0,success,0,368349,356,6,2202,7,60,10,2412,11,270,3
2026-08-12 19:03:21,0,success,0,368355,356,6,2202,7,0,10,2412,11,240,3
2026-08-12 19:04:20,0,success,0,368361,356,6,2202,7,0,10,2412,11,210,3
2026-08-12 19:05:20,0,success,0,368367,356,6,2202,7,0,10,2412,11,210,3
2026-08-12 19:06:20,0,success,0,368373,356,6,2202,7,0,10,2412,11,210,3
2026-08-12 19:07:20,0,success,0,368379,356,6,2202,7,0,10,2412,11,210,3
2026-08-12 19:08:21,0,success,0,368385,356,6,2202,7,0,10,2412,11,210,3
2026-08-12 19:09:21,0,success,0,368391,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:10:20,0,success,0,368397,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:11:20,0,success,0,368403,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:12:20,0,success,0,368409,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:13:20,0,success,0,368415,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:14:21,0,success,0,368421,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:15:21,0,success,0,368427,356,6,2202,7,0,10,2412,11,180,3
2026-08-12 19:16:21,0,success,0,368433,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:17:21,0,success,0,368439,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:18:20,0,success,0,368445,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:19:20,0,success,0,368451,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:20:20,0,success,0,368457,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:21:21,0,success,0,368463,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:22:21,0,success,0,368469,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:23:21,0,success,0,368475,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:24:20,0,success,0,368481,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:25:20,0,success,0,368487,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:26:20,0,success,0,368493,356,6,2202,7,0,10,2412,11,150,3
2026-08-12 19:27:21,0,success,0,368499,356,6,2202,7,0,10,2412,11,120,3
2026-08-12 19:28:21,0,success,0,368505,356,6,2202,7,0,10,2412,11,120,3
