# time,command,argument,event_id,value,units,efficiency
1787172213,o,,auto_outside_comm_for_advanced_load_up_1,,,
1787172228,a,65535,advanced_load_up_1,100,2,
1787173023,o,,auto_outside_comm_heartbeat_01,,,
1787173833,o,,auto_outside_comm_heartbeat_02,,,
1787174643,o,,auto_outside_comm_heartbeat_03,,,
1787175453,o,,auto_outside_comm_heartbeat_04,,,
1787176263,o,,auto_outside_comm_heartbeat_05,,,
1787177073,o,,auto_outside_comm_heartbeat_06,,,
1787177883,o,,auto_outside_comm_heartbeat_07,,,
1787178693,o,,auto_outside_comm_heartbeat_08,,,
1787179503,o,,auto_outside_comm_heartbeat_09,,,
1787180313,o,,auto_outside_comm_heartbeat_10,,,
1787181123,o,,auto_outside_comm_heartbeat_11,,,
1787181213,o,,auto_outside_comm_for_shed_1,,,
1787181228,s,0,shed_1,,,
1787181933,o,,auto_outside_comm_heartbeat_12,,,
1787182743,o,,auto_outside_comm_heartbeat_13,,,
1787183553,o,,auto_outside_comm_heartbeat_14,,,
1787184363,o,,auto_outside_comm_heartbeat_15,,,
1787185173,o,,auto_outside_comm_heartbeat_16,,,
1787185983,o,,auto_outside_comm_heartbeat_17,,,
1787186793,o,,auto_outside_comm_heartbeat_18,,,
1787187603,o,,auto_outside_comm_heartbeat_19,,,
1787188413,o,,auto_outside_comm_heartbeat_20,,,
1787189223,o,,auto_outside_comm_heartbeat_21,,,
1787190033,o,,auto_outside_comm_heartbeat_22,,,
1787190843,o,,auto_outside_comm_heartbeat_23,,,
1787191653,o,,auto_outside_comm_heartbeat_24,,,
1787192463,o,,auto_outside_comm_heartbeat_25,,,
1787192613,o,,auto_outside_comm_for_advanced_load_up_2,,,
1787192628,a,65535,advanced_load_up_2,100,2,9
1787193273,o,,auto_outside_comm_heartbeat_26,,,
1787194083,o,,auto_outside_comm_heartbeat_27,,,
1787194893,o,,auto_outside_comm_heartbeat_28,,,
1787195703,o,,auto_outside_comm_heartbeat_29,,,
1787196213,o,,auto_outside_comm_for_run_normal_1,,,
1787196228,e,0,run_normal_1,,,
1787196513,o,,auto_outside_comm_heartbeat_30,,,
1787197323,o,,auto_outside_comm_heartbeat_31,,,
