timestamp_pacific,response_code,response_name,electricity_commodity_code,cumulative_electricity_Wh,instantaneous_electricity_W,total_storage_commodity_code,total_energy_storage_Wh,present_storage_commodity_code,present_energy_storage_Wh,advanced_total_storage_commodity_code,advanced_total_energy_storage_Wh,advanced_present_storage_commodity_code,advanced_present_energy_storage_Wh,operational_state
2026-08-31 11:08:05,0,success,0,384333,356,6,2202,7,0,10,2412,11,120,5
2026-08-31 11:09:06,0,success,0,384333,0,6,2202,7,0,10,2412,11,120,2
2026-08-31 11:10:06,0,success,0,384333,0,6,2202,7,0,10,2412,11,150,4
2026-08-31 11:11:06,0,success,0,384333,0,6,2202,7,0,10,2412,11,180,4
2026-08-31 11:12:06,0,success,0,384333,0,6,2202,7,0,10,2412,11,240,4
2026-08-31 11:13:06,0,success,0,384333,0,6,2202,7,60,10,2412,11,270,4
2026-08-31 11:14:06,0,success,0,384333,0,6,2202,7,90,10,2412,11,300,4
2026-08-31 11:15:06,0,success,0,384333,0,6,2202,7,180,10,2412,11,390,4
2026-08-31 11:16:06,0,success,0,384333,0,6,2202,7,510,10,2412,11,726,4
2026-08-31 11:17:06,0,success,0,384333,0,6,2202,7,876,10,2412,11,1086,4
2026-08-31 11:18:06,0,success,0,384333,0,6,2202,7,1176,10,2412,11,1386,4
2026-08-31 11:19:05,0,success,0,384333,0,6,2052,7,1236,10,2352,11,1536,2
2026-08-31 11:20:06,0,success,0,384339,356,6,2052,7,1386,10,2352,11,1686,2
2026-08-31 11:21:06,0,success,0,384345,356,6,2052,7,1356,10,2352,11,1656,2
2026-08-31 11:22:06,0,success,0,384351,356,6,2052,7,1296,10,2352,11,1596,2
2026-08-31 11:23:06,0,success,0,384357,356,6,2052,7,1266,10,2352,11,1566,2
2026-08-31 11:24:06,0,success,0,384363,356,6,2052,7,1236,10,2352,11,1536,2
2026-08-31 11:25:06,0,success,0,384369,356,6,2052,7,1206,10,2352,11,1506,2
2026-08-31 11:26:06,0,success,0,384375,356,6,2052,7,1206,10,2352,11,1506,2
2026-08-31 11:27:06,0,success,0,384381,356,6,2052,7,1176,10,2352,11,1476,2
2026-08-31 11:28:06,0,success,0,384387,356,6,2052,7,1146,10,2352,11,1446,2
2026-08-31 11:29:06,0,success,0,384393,356,6,2052,7,1146,10,2352,11,1446,2
2026-08-31 11:30:06,0,success,0,384399,356,6,2052,7,1116,10,2352,11,1416,2
2026-08-31 11:31:06,0,success,0,384405,356,6,2052,7,1116,10,2352,11,1416,2
2026-08-31 11:32:06,0,success,0,384411,356,6,2052,7,1086,10,2352,11,1386,2
2026-08-31 11:33:06,0,success,0,384417,356,6,2052,7,1056,10,2352,11,1356,2
2026-08-31 11:34:05,0,success,0,384423,356,6,2052,7,1056,10,2352,11,1356,2
2026-08-31 11:35:05,0,success,0,384429,356,6,2052,7,1026,10,2352,11,1326,2
2026-08-31 11:36:05,0,success,0,384435,356,6,2052,7,1026,10,2352,11,1326,2
2026-08-31 11:37:05,0,success,0,384441,356,6,2052,7,996,10,2352,11,1296,2
2026-08-31 11:38:05,0,success,0,384447,356,6,2052,7,966,10,2352,11,1266,2
2026-08-31 11:39:06,0,success,0,384453,356,6,2052,7,966,10,2352,11,1266,2
2026-08-31 11:40:06,0,success,0,384459,356,6,2052,7,966,10,2352,11,1266,2
2026-08-31 11:41:06,0,success,0,384465,356,6,2052,7,936,10,2352,11,1236,2
2026-08-31 11:42:06,0,success,0,384471,356,6,2052,7,936,10,2352,11,1236,2
2026-08-31 11:43:06,0,success,0,384477,356,6,2052,7,906,10,2352,11,1206,2
2026-08-31 11:44:06,0,success,0,384483,356,6,2052,7,906,10,2352,11,1206,2
2026-08-31 11:45:06,0,success,0,384489,356,6,2052,7,876,10,2352,11,1176,2
2026-08-31 11:46:06,0,success,0,384495,356,6,2052,7,876,10,2352,11,1176,2
2026-08-31 11:47:06,0,success,0,384501,356,6,2052,7,846,10,2352,11,1146,2
2026-08-31 11:48:06,0,success,0,384507,356,6,2052,7,846,10,2352,11,1146,2
2026-08-31 11:49:06,0,success,0,384513,356,6,2052,7,816,10,2352,11,1116,2
2026-08-31 11:50:06,0,success,0,384519,356,6,2052,7,816,10,2352,11,1116,2
2026-08-31 11:51:05,0,success,0,384525,356,6,2052,7,786,10,2352,11,1086,2
2026-08-31 11:52:05,0,success,0,384531,356,6,2052,7,756,10,2352,11,1056,2
2026-08-31 11:53:05,0,success,0,384537,356,6,2052,7,756,10,2352,11,1056,2
2026-08-31 11:54:05,0,success,0,384543,356,6,2052,7,756,10,2352,11,1056,2
2026-08-31 11:55:05,0,success,0,384549,356,6,2052,7,726,10,2352,11,1026,2
2026-08-31 11:56:05,0,success,0,384555,356,6,2052,7,726,10,2352,11,1026,2
2026-08-31 11:57:05,0,success,0,384561,356,6,2052,7,696,10,2352,11,996,2
2026-08-31 11:58:06,0,success,0,384567,356,6,2052,7,696,10,2352,11,996,2
2026-08-31 11:59:06,0,success,0,384573,356,6,2052,7,666,10,2352,11,966,2
2026-08-31 12:00:06,0,success,0,384579,356,6,2052,7,666,10,2352,11,966,2
2026-08-31 12:01:06,0,success,0,384585,356,6,2052,7,636,10,2352,11,936,2
2026-08-31 12:02:06,0,success,0,384591,356,6,2052,7,636,10,2352,11,936,2
2026-08-31 12:03:06,0,success,0,384597,356,6,2052,7,636,10,2352,11,936,2
2026-08-31 12:04:06,0,success,0,384603,356,6,2052,7,606,10,2352,11,906,2
2026-08-31 12:05:06,0,success,0,384609,356,6,2052,7,606,10,2352,11,906,2
2026-08-31 12:06:06,0,success,0,384615,356,6,2052,7,606,10,2352,11,906,2
2026-08-31 12:07:06,0,success,0,384621,356,6,2052,7,570,10,2352,11,876,2
2026-08-31 12:08:06,0,success,0,384627,356,6,2052,7,570,10,2352,11,876,2
2026-08-31 12:09:05,0,success,0,384633,356,6,2052,7,540,10,2352,11,846,2
2026-08-31 12:10:05,0,success,0,384639,356,6,2052,7,540,10,2352,11,846,2
2026-08-31 12:11:06,0,success,0,384645,356,6,2052,7,510,10,2352,11,816,2
2026-08-31 12:12:06,0,success,0,384645,0,6,2202,7,696,10,2412,11,906,4
2026-08-31 12:13:06,0,success,0,384645,0,6,2202,7,786,10,2412,11,996,4
2026-08-31 12:14:06,0,success,0,384645,0,6,2202,7,846,10,2412,11,1056,4
2026-08-31 12:15:06,0,success,0,384645,0,6,2202,7,936,10,2412,11,1146,4
2026-08-31 12:16:06,0,success,0,384645,0,6,2202,7,1026,10,2412,11,1236,4
2026-08-31 12:17:06,0,success,0,384645,0,6,2202,7,1206,10,2412,11,1416,4
2026-08-31 12:18:06,0,success,0,384645,0,6,2052,7,1326,10,2352,11,1626,2
2026-08-31 12:19:06,0,success,0,384651,356,6,2052,7,1506,10,2352,11,1812,2
2026-08-31 12:20:06,0,success,0,384657,356,6,2052,7,1536,10,2352,11,1842,2
2026-08-31 12:21:05,0,success,0,384663,356,6,2052,7,1506,10,2352,11,1812,2
2026-08-31 12:22:05,0,success,0,384669,356,6,2052,7,1506,10,2352,11,1812,2
2026-08-31 12:23:05,0,success,0,384675,356,6,2052,7,1536,10,2352,11,1842,2
