timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,intermediate_response_code,intermediate_response_name,details
2026-08-31T11:08:05.102-07:00,,controller_started,internal,controller,started,,controller,,,,,,,,,
2026-08-31T11:08:05.107-07:00,,serial_open,internal,serial_port,ok,/dev/ttyUSB0,controller,,,,,,,,,
2026-08-31T11:08:05.107-07:00,,communication_started,internal,cta2045,started,,controller,,,,,,,,,
2026-08-31T11:08:05.108-07:00,,query_sent,outbound,device_information,pending,,startup,1,1,,,,,,,
2026-08-31T11:08:05.258-07:00,,link_ack,inbound,device_information,ack,,link_layer,,,,,,,,,
2026-08-31T11:08:05.386-07:00,,intermediate_response,inbound,device_information,success,,device_response,1,129,,,,,0,success,
2026-08-31T11:08:05.426-07:00,,query_completed,outbound,device_information,ok,,startup,1,1,,,,,0,success,
2026-08-31T11:08:05.428-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,,,
2026-08-31T11:08:05.577-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,,,
2026-08-31T11:08:05.721-07:00,,intermediate_response,inbound,get_commodity,success,,device_response,6,128,,,,,0,success,
2026-08-31T11:08:05.763-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,0,success,
2026-08-31T11:08:05.763-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:08:05.913-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:08:06.025-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,5,,,5,SGD Error Condition,,,
2026-08-31T11:08:06.066-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:08:07.066-07:00,auto_outside_comm_for_shed_1,command_sent,outbound,outside_communication1,pending,0,schedule,14,0,,,,,,,
2026-08-31T11:08:07.113-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,,,
2026-08-31T11:08:07.225-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,,,
2026-08-31T11:08:07.265-07:00,auto_outside_comm_for_shed_1,command_completed,outbound,outside_communication1,ok,0,schedule,14,0,,,,,,,
2026-08-31T11:08:21.296-07:00,shed_1,command_sent,outbound,shed,pending,0,schedule,1,0,,,,,,,
2026-08-31T11:08:21.447-07:00,,link_ack,inbound,shed,ack,,link_layer,1,,,,,,,,
2026-08-31T11:08:21.543-07:00,,application_ack,inbound,shed,ack,,application_layer,3,1,,,,,,,
2026-08-31T11:08:21.583-07:00,shed_1,command_completed,outbound,shed,ok,0,schedule,1,0,,,,,,,
2026-08-31T11:08:35.621-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:08:35.764-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:08:35.860-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,2,,,2,Running Curtailed,,,
2026-08-31T11:08:35.901-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:09:05.966-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,,,
2026-08-31T11:09:06.095-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,,,
2026-08-31T11:09:06.239-07:00,,intermediate_response,inbound,get_commodity,success,,device_response,6,128,,,,,0,success,
2026-08-31T11:09:06.283-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,0,success,
2026-08-31T11:09:06.283-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:09:06.431-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:09:06.543-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,2,,,2,Running Curtailed,,,
2026-08-31T11:09:06.584-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:09:35.654-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:09:35.786-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:09:35.898-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,2,,,2,Running Curtailed,,,
2026-08-31T11:09:35.938-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:10:06.004-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,,,
2026-08-31T11:10:06.149-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,,,
2026-08-31T11:10:06.301-07:00,,intermediate_response,inbound,get_commodity,success,,device_response,6,128,,,,,0,success,
2026-08-31T11:10:06.344-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,0,success,
2026-08-31T11:10:06.344-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:10:06.501-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:10:06.597-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,,,
2026-08-31T11:10:06.638-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:10:35.701-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:10:35.840-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:10:35.951-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,,,
2026-08-31T11:10:35.992-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:11:06.057-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,,,
2026-08-31T11:11:06.202-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,,,
2026-08-31T11:11:06.330-07:00,,intermediate_response,inbound,get_commodity,success,,device_response,6,128,,,,,0,success,
2026-08-31T11:11:06.374-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,0,success,
2026-08-31T11:11:06.374-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:11:06.522-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:11:06.634-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,,,
2026-08-31T11:11:06.675-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:11:35.745-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:11:35.877-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
2026-08-31T11:11:35.989-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,,,
2026-08-31T11:11:36.030-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,,,
2026-08-31T11:12:06.094-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,,,
2026-08-31T11:12:06.224-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,,,
2026-08-31T11:12:06.368-07:00,,intermediate_response,inbound,get_commodity,success,,device_response,6,128,,,,,0,success,
2026-08-31T11:12:06.411-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,0,success,
2026-08-31T11:12:06.412-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,,,
2026-08-31T11:12:06.560-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,,,
