event_id,timestamp_pacific,draw_elapsed_seconds,status,stop_reason,valve_state,target_volume_gal,accumulated_volume_gal,flow_gpm,hot_temp_c,hot_temp_f,cold_temp_c,cold_temp_f,ambient_temp_c,ambient_temp_f,hot_raw_counts,cold_raw_counts,flow_raw_counts,ambient_raw_counts,cold_source_station,cold_source_timestamp_pacific
water_draw_2,2026-08-31T12:12:08.463-07:00,0.000,drawing,,open,,0.000000,0.174479,26.04,78.87,23.02,73.44,21.90,71.42,1210,1181,475,219,WH-station1,2026-08-31T12:12:08.458-07:00
water_draw_2,2026-08-31T12:12:08.965-07:00,1.003,drawing,,open,,0.058524,3.502396,26.15,79.06,22.81,73.06,21.60,70.88,1211,1179,1127,216,WH-station1,2026-08-31T12:12:08.960-07:00
water_draw_2,2026-08-31T12:12:09.467-07:00,1.505,drawing,,open,,0.088681,3.604479,25.94,78.69,23.12,73.62,22.00,71.60,1209,1182,1147,220,WH-station1,2026-08-31T12:12:09.462-07:00
water_draw_2,2026-08-31T12:12:09.969-07:00,2.007,drawing,,open,,0.119198,3.645313,25.63,78.13,23.23,73.81,22.20,71.96,1206,1183,1155,222,WH-station1,2026-08-31T12:12:09.964-07:00
water_draw_2,2026-08-31T12:12:10.471-07:00,2.509,drawing,,open,,0.149656,3.640208,25.94,78.69,23.23,73.81,22.20,71.96,1209,1183,1154,222,WH-station1,2026-08-31T12:12:10.466-07:00
water_draw_2,2026-08-31T12:12:10.973-07:00,3.011,drawing,,open,,0.180071,3.635104,25.94,78.69,23.12,73.62,22.10,71.78,1209,1182,1153,221,WH-station1,2026-08-31T12:12:10.968-07:00
water_draw_2,2026-08-31T12:12:11.476-07:00,3.513,drawing,,open,,0.210102,3.589167,25.83,78.50,23.02,73.44,22.30,72.14,1208,1181,1144,223,WH-station1,2026-08-31T12:12:11.470-07:00
water_draw_2,2026-08-31T12:12:11.980-07:00,4.016,drawing,,open,,0.239782,3.543229,26.04,78.87,23.02,73.44,21.90,71.42,1210,1181,1135,219,WH-station1,2026-08-31T12:12:11.974-07:00
water_draw_2,2026-08-31T12:12:12.485-07:00,4.520,drawing,,open,,0.269074,3.481979,26.67,80.00,22.92,73.25,22.10,71.78,1216,1180,1123,221,WH-station1,2026-08-31T12:12:12.478-07:00
water_draw_2,2026-08-31T12:12:12.990-07:00,5.025,drawing,,open,,0.297852,3.420729,27.19,80.94,22.81,73.06,21.80,71.24,1221,1179,1111,218,WH-station1,2026-08-31T12:12:12.983-07:00
water_draw_2,2026-08-31T12:12:13.494-07:00,5.530,drawing,,open,,0.326031,3.349271,27.81,82.06,22.60,72.69,22.20,71.96,1227,1177,1097,222,WH-station1,2026-08-31T12:12:13.488-07:00
water_draw_2,2026-08-31T12:12:14.000-07:00,6.035,drawing,,open,,0.353738,3.293125,28.44,83.19,22.71,72.88,21.80,71.24,1233,1178,1086,218,WH-station1,2026-08-31T12:12:13.993-07:00
water_draw_2,2026-08-31T12:12:14.504-07:00,6.540,drawing,,open,,0.381338,3.277813,29.17,84.50,22.92,73.25,21.80,71.24,1240,1180,1083,218,WH-station1,2026-08-31T12:12:14.498-07:00
water_draw_2,2026-08-31T12:12:15.009-07:00,7.045,drawing,,open,,0.408349,3.211458,29.90,85.81,22.81,73.06,22.10,71.78,1247,1179,1070,221,WH-station1,2026-08-31T12:12:15.003-07:00
water_draw_2,2026-08-31T12:12:15.514-07:00,7.549,drawing,,open,,0.435454,3.221667,30.52,86.94,23.02,73.44,22.10,71.78,1253,1181,1072,221,WH-station1,2026-08-31T12:12:15.508-07:00
water_draw_2,2026-08-31T12:12:16.019-07:00,8.054,drawing,,open,,0.462382,3.201250,30.94,87.69,22.40,72.31,21.90,71.42,1257,1175,1068,219,WH-station1,2026-08-31T12:12:16.013-07:00
water_draw_2,2026-08-31T12:12:16.523-07:00,8.559,drawing,,open,,0.489014,3.165521,31.56,88.81,22.81,73.06,22.20,71.96,1263,1179,1061,222,WH-station1,2026-08-31T12:12:16.517-07:00
water_draw_2,2026-08-31T12:12:17.028-07:00,9.064,drawing,,open,,0.515345,3.129792,32.19,89.94,22.71,72.88,21.60,70.88,1269,1178,1054,216,WH-station1,2026-08-31T12:12:17.022-07:00
water_draw_2,2026-08-31T12:12:17.533-07:00,9.569,drawing,,open,,0.541527,3.109375,33.02,91.44,22.50,72.50,21.70,71.06,1277,1176,1050,217,WH-station1,2026-08-31T12:12:17.527-07:00
water_draw_2,2026-08-31T12:12:18.038-07:00,10.074,drawing,,open,,0.567470,3.083854,33.44,92.19,23.02,73.44,22.10,71.78,1281,1181,1045,221,WH-station1,2026-08-31T12:12:18.032-07:00
water_draw_2,2026-08-31T12:12:18.543-07:00,10.578,drawing,,open,,0.593370,3.078750,33.85,92.94,22.50,72.50,22.00,71.60,1285,1176,1044,220,WH-station1,2026-08-31T12:12:18.537-07:00
water_draw_2,2026-08-31T12:12:19.048-07:00,11.084,drawing,,open,,0.619379,3.088958,34.27,93.69,22.60,72.69,21.80,71.24,1289,1177,1046,218,WH-station1,2026-08-31T12:12:19.042-07:00
water_draw_2,2026-08-31T12:12:19.553-07:00,11.589,drawing,,open,,0.645072,3.053229,34.79,94.62,22.60,72.69,21.70,71.06,1294,1177,1039,217,WH-station1,2026-08-31T12:12:19.546-07:00
water_draw_2,2026-08-31T12:12:20.058-07:00,12.093,drawing,,open,,0.670417,3.012396,35.52,95.94,22.81,73.06,22.00,71.60,1301,1179,1031,220,WH-station1,2026-08-31T12:12:20.051-07:00
water_draw_2,2026-08-31T12:12:20.562-07:00,12.598,drawing,,open,,0.695799,3.017500,35.94,96.69,22.40,72.31,21.90,71.42,1305,1175,1032,219,WH-station1,2026-08-31T12:12:20.556-07:00
water_draw_2,2026-08-31T12:12:21.067-07:00,13.103,drawing,,open,,0.721179,3.017500,36.46,97.62,22.40,72.31,22.20,71.96,1310,1175,1032,222,WH-station1,2026-08-31T12:12:21.061-07:00
water_draw_2,2026-08-31T12:12:21.572-07:00,13.607,drawing,,open,,0.746389,2.997083,36.77,98.19,22.50,72.50,22.10,71.78,1313,1176,1028,221,WH-station1,2026-08-31T12:12:21.566-07:00
water_draw_2,2026-08-31T12:12:22.076-07:00,14.112,drawing,,open,,0.771640,3.002187,37.19,98.94,22.71,72.88,22.20,71.96,1317,1178,1029,222,WH-station1,2026-08-31T12:12:22.070-07:00
water_draw_2,2026-08-31T12:12:22.582-07:00,14.617,drawing,,open,,0.796938,3.007292,37.60,99.69,22.60,72.69,22.20,71.96,1321,1177,1030,222,WH-station1,2026-08-31T12:12:22.575-07:00
