event_id,timestamp_pacific,draw_elapsed_seconds,status,stop_reason,valve_state,target_volume_gal,accumulated_volume_gal,flow_gpm,hot_temp_c,hot_temp_f,cold_temp_c,cold_temp_f,ambient_temp_c,ambient_temp_f,hot_raw_counts,cold_raw_counts,flow_raw_counts,ambient_raw_counts,cold_source_station,cold_source_timestamp_pacific
water_draw_2,2026-08-05T15:19:29.013-07:00,1.232,drawing,,open,2.0,0.003686,0.179583,34.17,93.50,23.75,74.75,22.50,72.50,1288,1188,476,225,WH-station1,2026-08-05T15:19:29.009-07:00
water_draw_2,2026-08-05T15:19:29.515-07:00,2.234,drawing,,open,2.0,0.060573,3.405417,34.17,93.50,23.54,74.38,22.80,73.04,1288,1186,1108,228,WH-station1,2026-08-05T15:19:29.511-07:00
water_draw_2,2026-08-05T15:19:30.017-07:00,2.736,drawing,,open,2.0,0.089961,3.512604,33.96,93.13,23.75,74.75,23.00,73.40,1286,1188,1129,230,WH-station1,2026-08-05T15:19:30.013-07:00
water_draw_2,2026-08-05T15:19:30.519-07:00,3.238,drawing,,open,2.0,0.119779,3.563646,34.06,93.31,23.75,74.75,22.30,72.14,1287,1188,1139,223,WH-station1,2026-08-05T15:19:30.515-07:00
water_draw_2,2026-08-05T15:19:31.022-07:00,3.740,drawing,,open,2.0,0.149038,3.497292,33.75,92.75,23.85,74.94,22.50,72.50,1284,1189,1126,225,WH-station1,2026-08-05T15:19:31.017-07:00
water_draw_2,2026-08-05T15:19:31.524-07:00,4.242,drawing,,open,2.0,0.178314,3.497292,34.06,93.31,23.96,75.12,22.60,72.68,1287,1190,1126,226,WH-station1,2026-08-05T15:19:31.519-07:00
water_draw_2,2026-08-05T15:19:32.026-07:00,4.745,drawing,,open,2.0,0.207213,3.451354,34.17,93.50,23.85,74.94,22.80,73.04,1288,1189,1117,228,WH-station1,2026-08-05T15:19:32.021-07:00
water_draw_2,2026-08-05T15:19:32.531-07:00,5.247,drawing,,open,2.0,0.235247,3.349271,34.17,93.50,23.75,74.75,22.50,72.50,1288,1188,1097,225,WH-station1,2026-08-05T15:19:32.525-07:00
water_draw_2,2026-08-05T15:19:33.039-07:00,5.755,drawing,,open,2.0,0.263480,3.333958,34.90,94.81,23.33,74.00,22.50,72.50,1295,1184,1094,225,WH-station1,2026-08-05T15:19:33.029-07:00
water_draw_2,2026-08-05T15:19:33.543-07:00,6.260,drawing,,open,2.0,0.291523,3.333958,35.42,95.75,23.96,75.12,22.70,72.86,1300,1190,1094,227,WH-station1,2026-08-05T15:19:33.534-07:00
water_draw_2,2026-08-05T15:19:34.048-07:00,6.764,drawing,,open,2.0,0.318966,3.262500,35.73,96.31,23.96,75.12,22.80,73.04,1303,1190,1080,228,WH-station1,2026-08-05T15:19:34.039-07:00
water_draw_2,2026-08-05T15:19:34.553-07:00,7.269,drawing,,open,2.0,0.346113,3.226771,36.35,97.44,23.54,74.38,22.80,73.04,1309,1186,1073,228,WH-station1,2026-08-05T15:19:34.543-07:00
water_draw_2,2026-08-05T15:19:35.058-07:00,7.774,drawing,,open,2.0,0.372877,3.180833,36.87,98.37,23.65,74.56,22.60,72.68,1314,1187,1064,226,WH-station1,2026-08-05T15:19:35.048-07:00
water_draw_2,2026-08-05T15:19:35.562-07:00,8.279,drawing,,open,2.0,0.399419,3.155312,37.50,99.50,23.44,74.19,22.50,72.50,1320,1185,1059,225,WH-station1,2026-08-05T15:19:35.553-07:00
water_draw_2,2026-08-05T15:19:36.067-07:00,8.783,drawing,,open,2.0,0.425835,3.140000,37.92,100.25,23.65,74.56,22.60,72.68,1324,1187,1056,226,WH-station1,2026-08-05T15:19:36.058-07:00
