event_id,scheduled_pacific,offset_seconds,action,command_code,duration_byte,requested_duration_seconds,represented_duration_seconds,advanced_duration_minutes,advanced_value,advanced_units,expected_operational_states,generated,prerequisite_for
auto_outside_comm_for_load_up_1,2026-08-09T13:10:09-07:00,-15,outside_communication,o,,,,,,,,true,load_up_1
load_up_1,2026-08-09T13:10:24-07:00,0,load_up,l,0,,,,,,3|6,false,
auto_outside_comm_heartbeat_01,2026-08-09T13:23:39-07:00,795,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_02,2026-08-09T13:37:09-07:00,1605,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_03,2026-08-09T13:50:39-07:00,2415,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_04,2026-08-09T14:04:09-07:00,3225,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_05,2026-08-09T14:17:39-07:00,4035,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_06,2026-08-09T14:31:09-07:00,4845,outside_communication,o,,,,,,,,true,
auto_outside_comm_for_grid_emergency_1,2026-08-09T14:40:09-07:00,5385,outside_communication,o,,,,,,,,true,grid_emergency_1
grid_emergency_1,2026-08-09T14:40:24-07:00,5400,grid_emergency,g,0,,,,,,2|4,false,
auto_outside_comm_heartbeat_07,2026-08-09T14:44:39-07:00,5655,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_08,2026-08-09T14:58:09-07:00,6465,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_09,2026-08-09T15:11:39-07:00,7275,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_10,2026-08-09T15:25:09-07:00,8085,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_11,2026-08-09T15:38:39-07:00,8895,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_12,2026-08-09T15:52:09-07:00,9705,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_13,2026-08-09T16:05:39-07:00,10515,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_14,2026-08-09T16:19:09-07:00,11325,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_15,2026-08-09T16:32:39-07:00,12135,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_16,2026-08-09T16:46:09-07:00,12945,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_17,2026-08-09T16:59:39-07:00,13755,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_18,2026-08-09T17:13:09-07:00,14565,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_19,2026-08-09T17:26:39-07:00,15375,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_20,2026-08-09T17:40:09-07:00,16185,outside_communication,o,,,,,,,,true,
auto_outside_comm_for_load_up_2,2026-08-09T17:50:09-07:00,16785,outside_communication,o,,,,,,,,true,load_up_2
load_up_2,2026-08-09T17:50:24-07:00,16800,load_up,l,0,,,,,,3|6,false,
auto_outside_comm_heartbeat_21,2026-08-09T17:53:39-07:00,16995,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_22,2026-08-09T18:07:09-07:00,17805,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_23,2026-08-09T18:20:39-07:00,18615,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_24,2026-08-09T18:34:09-07:00,19425,outside_communication,o,,,,,,,,true,
auto_outside_comm_heartbeat_25,2026-08-09T18:47:39-07:00,20235,outside_communication,o,,,,,,,,true,
auto_outside_comm_for_run_normal_1,2026-08-09T18:50:09-07:00,20385,outside_communication,o,,,,,,,,true,run_normal_1
run_normal_1,2026-08-09T18:50:24-07:00,20400,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_heartbeat_26,2026-08-09T19:01:09-07:00,21045,outside_communication,o,,,,,,,,true,
