phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up 1,2026-08-04 16:30:35.470000,0:00,0:00,Command accepted,Accepted,CTA
Load Up 1,2026-08-04 16:31:02.269000,0:27,0:27,Fan started,"0.26 A, 30 W (inferred)",Power monitor
Load Up 1,2026-08-04 16:31:20.086000,0:45,0:18,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 1,2026-08-04 16:31:37.501000,1:02,0:17,Compressor started,"1.93 A, 257 W (inferred)",Power monitor
Load Up 1,2026-08-04 16:34:19,3:44,2:41,EnergyTake first changed,360 to 420 Wh,Commodity poll
Load Up 1,2026-08-04 17:47:45.545000,1:17:10,1:13:27,Compressor stopped; fan remains on,"0.22 A, 23 W (inferred)",Power monitor
Load Up 1,2026-08-04 17:49:00.991000,1:18:26,1:15,Fan/load stopped,"0.00 A, 2 W (inferred)",Power monitor
Shed,2026-08-04 18:00:35.232000,0:00,11:34,Command accepted,Accepted,CTA
Shed,2026-08-04 18:01:20.841000,0:46,0:46,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
Shed,2026-08-04 18:30:35.051000,30:00,29:14,water_draw_1 started,Target 15.00 gal,Water draw
Shed,2026-08-04 18:35:20,34:45,4:45,EnergyTake first changed,0 to 90 Wh,Commodity poll
Shed,2026-08-04 18:35:35.744000,35:01,0:16,water_draw_1 completed,Measured 15.01 gal,Water draw
Shed,2026-08-04 19:00:35.137000,1:00:00,24:59,water_draw_2 started,Target 2.00 gal,Water draw
Shed,2026-08-04 19:01:16.229000,1:00:41,0:41,water_draw_2 completed,Measured 2.02 gal,Water draw
Shed,2026-08-04 20:10:35.066000,2:10:00,1:09:19,water_draw_3 started,Target 9.00 gal,Water draw
Shed,2026-08-04 20:13:30.265000,2:12:55,2:55,water_draw_3 completed,Measured 9.00 gal,Water draw
Shed,2026-08-04 20:16:34.479000,2:15:59,3:04,Fan started,"0.22 A, 25 W (inferred)",Power monitor
Shed,2026-08-04 20:17:10.707000,2:16:35,0:36,Compressor started,"1.96 A, 261 W (inferred)",Power monitor
Shed,2026-08-04 20:33:31.767000,2:32:57,16:21,Compressor stopped; fan remains on,"0.21 A, 21 W (inferred)",Power monitor
Shed,2026-08-04 20:34:48.215000,2:34:13,1:16,Fan/load stopped,"0.00 A, 2 W (inferred)",Power monitor
Shed,2026-08-04 21:00:29.877000,2:59:55,25:42,Fan started,"0.22 A, 25 W (inferred)",Power monitor
Shed,2026-08-04 21:01:06.086000,3:00:31,0:36,Compressor started,"1.89 A, 250 W (inferred)",Power monitor
Load Up 2,2026-08-04 21:10:35.682000,0:00,9:30,Command accepted,Accepted,CTA
Load Up 2,2026-08-04 21:11:20.298000,0:45,0:45,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 2,2026-08-04 21:13:20,2:44,2:00,EnergyTake first changed,816 to 786 Wh,Commodity poll
Normal,2026-08-04 22:10:35.604000,0:00,57:16,Command accepted,Accepted,CTA
Normal,2026-08-04 22:11:20.219000,0:45,0:45,Expected operational state first observed,State 1: Running Normal (expected 0 or 1),CTA state poll
Normal,2026-08-04 22:13:20,2:44,2:00,EnergyTake first changed,120 to 90 Wh,Commodity poll
