timestamp_pacific,monitor_elapsed_seconds,status,record_reason,voltage_rms,current_rms,real_power,reactive_power,apparent_power,power_factor
2026-08-14T22:21:27.867-07:00,0.001,ok,initial_sample,240.960,0.000,2.648,10.922,11.253,0.234
2026-08-14T22:22:28.208-07:00,60.338,ok,heartbeat,240.934,0.000,0.662,12.576,12.907,0.051
2026-08-14T22:23:28.560-07:00,120.691,ok,heartbeat,240.821,0.000,1.324,10.591,10.922,0.151
2026-08-14T22:24:28.910-07:00,181.041,ok,heartbeat,240.943,0.000,1.986,10.591,10.922,0.212
2026-08-14T22:25:29.260-07:00,241.391,ok,heartbeat,240.943,0.000,1.986,11.253,11.584,0.199
2026-08-14T22:26:29.611-07:00,301.741,ok,heartbeat,240.977,0.000,0.662,10.591,10.922,0.061
2026-08-14T22:27:29.960-07:00,362.090,ok,heartbeat,240.890,0.000,1.324,11.584,11.915,-0.083
2026-08-14T22:28:30.308-07:00,422.438,ok,heartbeat,240.960,0.000,2.648,9.929,10.591,0.250
2026-08-14T22:29:30.657-07:00,482.788,ok,heartbeat,241.003,0.000,1.324,10.591,10.922,0.151
2026-08-14T22:30:31.007-07:00,543.138,ok,heartbeat,240.856,0.000,1.986,12.245,12.576,0.184
2026-08-14T22:31:31.358-07:00,603.489,ok,heartbeat,241.116,0.000,1.986,10.591,10.922,0.182
2026-08-14T22:32:31.710-07:00,663.841,ok,heartbeat,240.934,0.000,3.310,10.591,11.253,0.323
2026-08-14T22:33:32.061-07:00,724.192,ok,heartbeat,240.821,0.000,0.662,10.922,11.253,0.088
2026-08-14T22:34:32.411-07:00,784.542,ok,heartbeat,240.995,0.000,1.986,10.922,11.253,0.176
2026-08-14T22:35:32.763-07:00,844.893,ok,heartbeat,240.804,0.000,1.324,9.929,10.260,0.129
2026-08-14T22:36:33.115-07:00,905.246,ok,heartbeat,241.133,0.000,0.662,10.922,11.915,0.194
2026-08-14T22:37:33.468-07:00,965.598,ok,heartbeat,241.029,0.000,1.986,9.929,10.260,0.226
2026-08-14T22:38:33.819-07:00,1025.950,ok,heartbeat,241.125,0.000,1.324,10.922,11.253,0.117
2026-08-14T22:39:34.171-07:00,1086.301,ok,heartbeat,240.995,0.000,1.986,10.922,11.253,0.205
2026-08-14T22:40:34.522-07:00,1146.652,ok,heartbeat,241.264,0.000,0.000,11.253,11.253,0.000
2026-08-14T22:41:34.874-07:00,1207.004,ok,heartbeat,241.185,0.000,3.310,9.267,9.929,0.333
2026-08-14T22:42:35.226-07:00,1267.356,ok,heartbeat,240.804,0.000,3.310,10.922,11.584,0.285
2026-08-14T22:43:35.576-07:00,1327.706,ok,heartbeat,241.281,0.000,1.986,11.915,12.245,0.188
2026-08-14T22:44:35.925-07:00,1388.056,ok,heartbeat,241.697,0.000,0.000,10.922,11.253,0.029
2026-08-14T22:45:36.276-07:00,1448.407,ok,heartbeat,241.238,0.000,1.324,11.584,11.915,-0.083
2026-08-14T22:46:36.627-07:00,1508.757,ok,heartbeat,241.359,0.000,3.972,11.253,12.576,0.236
2026-08-14T22:47:36.974-07:00,1569.105,ok,heartbeat,241.376,0.000,2.648,11.584,11.915,0.222
2026-08-14T22:48:37.323-07:00,1629.454,ok,heartbeat,241.411,0.000,1.986,10.591,10.922,0.182
2026-08-14T22:49:37.673-07:00,1689.803,ok,heartbeat,241.550,0.000,0.000,11.915,12.245,0.026
2026-08-14T22:50:38.023-07:00,1750.153,ok,heartbeat,241.619,0.000,0.662,11.584,11.915,-0.027
2026-08-14T22:51:38.372-07:00,1810.503,ok,heartbeat,241.663,0.000,0.662,9.929,10.260,0.097
2026-08-14T22:52:38.721-07:00,1870.852,ok,heartbeat,241.637,0.000,1.986,10.260,10.591,0.188
2026-08-14T22:53:39.070-07:00,1931.201,ok,heartbeat,241.220,0.000,2.648,10.260,10.922,0.272
2026-08-14T22:54:39.420-07:00,1991.550,ok,heartbeat,241.212,0.000,0.662,12.245,12.576,0.078
2026-08-14T22:55:39.770-07:00,2051.901,ok,heartbeat,241.463,0.000,2.648,11.584,10.591,0.250
2026-08-14T22:56:40.120-07:00,2112.250,ok,heartbeat,241.394,0.000,1.324,11.253,11.584,0.114
2026-08-14T22:57:40.469-07:00,2172.599,ok,heartbeat,241.185,0.000,1.986,9.929,10.260,0.193
2026-08-14T22:58:40.819-07:00,2232.949,ok,heartbeat,241.107,0.000,0.662,11.915,12.245,0.081
2026-08-14T22:59:41.168-07:00,2293.299,ok,heartbeat,241.272,0.000,1.986,9.598,9.929,0.199
2026-08-14T23:00:41.519-07:00,2353.649,ok,heartbeat,241.116,0.000,1.986,11.915,10.922,0.242
2026-08-14T23:01:41.873-07:00,2414.003,ok,heartbeat,241.298,0.000,1.986,10.591,10.922,0.212
2026-08-14T23:02:42.224-07:00,2474.354,ok,heartbeat,241.359,0.000,2.648,9.267,9.929,0.300
2026-08-14T23:03:42.560-07:00,2534.691,ok,heartbeat,241.246,0.000,3.310,11.253,11.915,0.027
2026-08-14T23:04:42.912-07:00,2595.042,ok,heartbeat,241.428,0.000,0.662,9.598,9.929,0.100
2026-08-14T23:05:43.262-07:00,2655.392,ok,heartbeat,241.281,0.000,1.986,11.584,11.915,0.166
2026-08-14T23:06:43.611-07:00,2715.741,ok,heartbeat,241.238,0.000,1.324,12.907,13.238,0.100
2026-08-14T23:07:43.963-07:00,2776.093,ok,heartbeat,241.238,0.000,0.662,11.584,11.915,0.055
2026-08-14T23:08:44.313-07:00,2836.443,ok,heartbeat,241.229,0.000,1.986,11.915,12.245,0.162
2026-08-14T23:09:44.664-07:00,2896.795,ok,heartbeat,241.628,0.000,1.986,8.936,9.267,0.214
2026-08-14T23:10:45.016-07:00,2957.147,ok,heartbeat,241.368,0.000,3.972,10.922,11.915,0.333
2026-08-14T23:11:45.366-07:00,3017.497,ok,heartbeat,241.437,0.000,1.986,11.584,13.569,0.194
2026-08-14T23:12:45.717-07:00,3077.848,ok,heartbeat,241.533,0.000,2.648,11.253,11.915,0.250
2026-08-14T23:13:46.068-07:00,3138.199,ok,heartbeat,241.585,0.000,1.986,10.922,11.253,0.205
