# time,command,argument,event_id,value,units,efficiency
1786996747,o,,auto_outside_comm_for_advanced_load_up_1,,,
1786996762,a,2149,advanced_load_up_1,100,2,1
1786997557,o,,auto_outside_comm_heartbeat_01,,,
1786998367,o,,auto_outside_comm_heartbeat_02,,,
1786999177,o,,auto_outside_comm_heartbeat_03,,,
1786999987,o,,auto_outside_comm_heartbeat_04,,,
1787000797,o,,auto_outside_comm_heartbeat_05,,,
1787001607,o,,auto_outside_comm_heartbeat_06,,,
1787002417,o,,auto_outside_comm_heartbeat_07,,,
1787003227,o,,auto_outside_comm_heartbeat_08,,,
1787004037,o,,auto_outside_comm_heartbeat_09,,,
1787004847,o,,auto_outside_comm_heartbeat_10,,,
1787005657,o,,auto_outside_comm_heartbeat_11,,,
1787005747,o,,auto_outside_comm_for_shed_1,,,
1787005762,s,0,shed_1,,,
1787006467,o,,auto_outside_comm_heartbeat_12,,,
1787007277,o,,auto_outside_comm_heartbeat_13,,,
1787008087,o,,auto_outside_comm_heartbeat_14,,,
1787008897,o,,auto_outside_comm_heartbeat_15,,,
1787009707,o,,auto_outside_comm_heartbeat_16,,,
1787010517,o,,auto_outside_comm_heartbeat_17,,,
1787011327,o,,auto_outside_comm_heartbeat_18,,,
1787012137,o,,auto_outside_comm_heartbeat_19,,,
1787012947,o,,auto_outside_comm_heartbeat_20,,,
1787013757,o,,auto_outside_comm_heartbeat_21,,,
1787014567,o,,auto_outside_comm_heartbeat_22,,,
1787015377,o,,auto_outside_comm_heartbeat_23,,,
1787016187,o,,auto_outside_comm_heartbeat_24,,,
1787016997,o,,auto_outside_comm_heartbeat_25,,,
1787017147,o,,auto_outside_comm_for_advanced_load_up_2,,,
1787017162,a,2149,advanced_load_up_2,100,2,9
1787017807,o,,auto_outside_comm_heartbeat_26,,,
1787018617,o,,auto_outside_comm_heartbeat_27,,,
1787019427,o,,auto_outside_comm_heartbeat_28,,,
1787020237,o,,auto_outside_comm_heartbeat_29,,,
1787020747,o,,auto_outside_comm_for_run_normal_1,,,
1787020762,e,0,run_normal_1,,,
1787021047,o,,auto_outside_comm_heartbeat_30,,,
1787021857,o,,auto_outside_comm_heartbeat_31,,,
