timestamp_pacific,response_code,response_name,electricity_commodity_code,cumulative_electricity_Wh,instantaneous_electricity_W,total_storage_commodity_code,total_energy_storage_Wh,present_storage_commodity_code,present_energy_storage_Wh,advanced_total_storage_commodity_code,advanced_total_energy_storage_Wh,advanced_present_storage_commodity_code,advanced_present_energy_storage_Wh,operational_state
2026-09-01 19:36:49,0,success,0,145000,0,6,9190,7,839,10,12371,11,4020,0
2026-09-01 19:37:49,0,success,0,145000,0,6,9190,7,839,10,12371,11,4020,4
2026-09-01 19:38:50,0,success,0,145000,0,6,9190,7,905,10,12371,11,4087,4
2026-09-01 19:39:50,0,success,0,145000,0,6,9190,7,1104,10,12371,11,4285,4
2026-09-01 19:40:49,0,success,0,145000,0,6,9190,7,1413,10,12371,11,4595,4
2026-09-01 19:41:49,0,success,0,145000,0,6,9190,7,1877,10,12371,11,5059,4
2026-09-01 19:42:49,0,success,0,145000,0,6,9190,7,2474,10,12371,11,5655,4
2026-09-01 19:43:49,0,success,0,145000,0,6,9190,7,3004,10,12371,11,6185,4
2026-09-01 19:44:49,0,success,0,145000,0,6,9190,7,3446,10,12371,11,6627,4
2026-09-01 19:45:50,0,success,0,145000,0,6,9190,7,3799,10,12371,11,6981,4
2026-09-01 19:46:49,0,success,0,145000,0,6,9190,7,4065,10,12371,11,7246,4
2026-09-01 19:47:49,0,success,0,145000,0,6,9190,7,4263,10,12371,11,7445,4
2026-09-01 19:48:49,0,success,0,145000,0,6,9190,7,4396,10,12371,11,7577,4
2026-09-01 19:49:49,0,success,0,145000,0,6,9190,7,4506,10,12371,11,7688,4
2026-09-01 19:50:50,0,success,0,145000,0,6,9190,7,4595,10,12371,11,7776,4
2026-09-01 19:51:50,0,success,0,145000,0,6,9190,7,4683,10,12371,11,7865,4
2026-09-01 19:52:49,0,success,0,145000,0,6,9190,7,4772,10,12371,11,7953,4
2026-09-01 19:53:49,0,success,0,145000,0,6,9190,7,4860,10,12371,11,8041,4
2026-09-01 19:54:49,0,success,0,145000,0,6,9190,7,4970,10,12371,11,8152,4
2026-09-01 19:55:49,0,success,0,145000,0,6,9190,7,5103,10,12371,11,8284,4
2026-09-01 19:56:50,0,success,0,145000,0,6,9190,7,5368,10,12371,11,8549,2
2026-09-01 19:57:49,0,success,0,145000,500,6,9190,7,5523,10,12371,11,8704,2
2026-09-01 19:58:49,0,success,0,145000,500,6,9190,7,5567,10,12371,11,8748,2
2026-09-01 19:59:49,0,success,0,145000,500,6,9190,7,5589,10,12371,11,8770,2
2026-09-01 20:00:49,0,success,0,145000,500,6,9190,7,5567,10,12371,11,8748,2
2026-09-01 20:01:49,0,success,0,145000,500,6,9190,7,5545,10,12371,11,8726,2
2026-09-01 20:02:50,0,success,0,145000,500,6,9190,7,5523,10,12371,11,8704,2
2026-09-01 20:03:49,0,success,0,145000,500,6,9190,7,5501,10,12371,11,8682,2
2026-09-01 20:04:49,0,success,0,145000,500,6,9190,7,5501,10,12371,11,8682,2
2026-09-01 20:05:49,0,success,0,145000,500,6,9190,7,5479,10,12371,11,8660,2
2026-09-01 20:06:50,0,success,0,145000,500,6,9190,7,5456,10,12371,11,8638,2
2026-09-01 20:07:50,0,success,0,145000,500,6,9190,7,5412,10,12371,11,8594,2
2026-09-01 20:08:49,0,success,0,146000,500,6,9190,7,5390,10,12371,11,8571,2
2026-09-01 20:09:49,0,success,0,146000,500,6,9190,7,5368,10,12371,11,8549,2
2026-09-01 20:10:49,0,success,0,146000,500,6,9190,7,5346,10,12371,11,8527,2
2026-09-01 20:11:49,0,success,0,146000,500,6,9190,7,5302,10,12371,11,8483,2
2026-09-01 20:12:49,0,success,0,146000,500,6,9190,7,5280,10,12371,11,8461,2
2026-09-01 20:13:50,0,success,0,146000,500,6,9190,7,5280,10,12371,11,8461,2
2026-09-01 20:14:50,0,success,0,146000,500,6,9190,7,5213,10,12371,11,8395,2
2026-09-01 20:15:49,0,success,0,146000,500,6,9190,7,5213,10,12371,11,8395,2
2026-09-01 20:16:49,0,success,0,146000,500,6,9190,7,5169,10,12371,11,8351,2
2026-09-01 20:17:49,0,success,0,146000,500,6,9190,7,5147,10,12371,11,8328,2
2026-09-01 20:18:50,0,success,0,146000,500,6,9190,7,5103,10,12371,11,8284,2
2026-09-01 20:19:50,0,success,0,146000,500,6,9190,7,5081,10,12371,11,8262,2
2026-09-01 20:20:49,0,success,0,146000,500,6,9190,7,5081,10,12371,11,8262,2
2026-09-01 20:21:49,0,success,0,146000,500,6,9190,7,5015,10,12371,11,8196,2
2026-09-01 20:22:49,0,success,0,146000,500,6,9190,7,4992,10,12371,11,8174,2
2026-09-01 20:23:49,0,success,0,146000,500,6,9190,7,4970,10,12371,11,8152,2
2026-09-01 20:24:49,0,success,0,146000,500,6,9190,7,4926,10,12371,11,8108,2
2026-09-01 20:25:50,0,success,0,146000,500,6,9190,7,4882,10,12371,11,8063,2
2026-09-01 20:26:50,0,success,0,146000,500,6,9190,7,4882,10,12371,11,8063,2
2026-09-01 20:27:49,0,success,0,146000,500,6,9190,7,4816,10,12371,11,7997,2
2026-09-01 20:28:49,0,success,0,146000,500,6,9190,7,4794,10,12371,11,7975,2
2026-09-01 20:29:49,0,success,0,146000,500,6,9190,7,4772,10,12371,11,7953,2
2026-09-01 20:30:50,0,success,0,146000,500,6,9190,7,4727,10,12371,11,7909,2
2026-09-01 20:31:50,0,success,0,146000,500,6,9190,7,4705,10,12371,11,7887,2
2026-09-01 20:32:49,0,success,0,146000,500,6,9190,7,4683,10,12371,11,7865,2
2026-09-01 20:33:49,0,success,0,146000,500,6,9190,7,4705,10,12371,11,7887,2
2026-09-01 20:34:49,0,success,0,146000,500,6,9190,7,4617,10,12371,11,7798,2
2026-09-01 20:35:49,0,success,0,146000,500,6,9190,7,4573,10,12371,11,7754,2
2026-09-01 20:36:50,0,success,0,146000,500,6,9190,7,4551,10,12371,11,7732,2
2026-09-01 20:37:49,0,success,0,146000,500,6,9190,7,4529,10,12371,11,7710,2
2026-09-01 20:38:49,0,success,0,146000,500,6,9190,7,4484,10,12371,11,7666,2
2026-09-01 20:39:49,0,success,0,146000,500,6,9190,7,4462,10,12371,11,7644,2
2026-09-01 20:40:49,0,success,0,146000,500,6,9190,7,4440,10,12371,11,7622,2
2026-09-01 20:41:49,0,success,0,146000,500,6,9190,7,4396,10,12371,11,7577,2
2026-09-01 20:42:50,0,success,0,146000,500,6,9190,7,4352,10,12371,11,7533,2
2026-09-01 20:43:50,0,success,0,146000,500,6,9190,7,4352,10,12371,11,7533,2
2026-09-01 20:44:49,0,success,0,146000,500,6,9190,7,4308,10,12371,11,7489,2
2026-09-01 20:45:49,0,success,0,146000,500,6,9190,7,4285,10,12371,11,7467,2
2026-09-01 20:46:49,0,success,0,146000,500,6,9190,7,4263,10,12371,11,7445,2
2026-09-01 20:47:50,0,success,0,146000,500,6,9190,7,4241,10,12371,11,7423,2
2026-09-01 20:48:50,0,success,0,146000,500,6,9190,7,4197,10,12371,11,7378,2
2026-09-01 20:49:49,0,success,0,146000,500,6,9190,7,4175,10,12371,11,7356,2
2026-09-01 20:50:49,0,success,0,146000,500,6,9190,7,4153,10,12371,11,7334,2
2026-09-01 20:51:49,0,success,0,146000,500,6,9190,7,4131,10,12371,11,7312,2
2026-09-01 20:52:49,0,success,0,146000,500,6,9190,7,4109,10,12371,11,7290,2
2026-09-01 20:53:49,0,success,0,146000,500,6,9190,7,4087,10,12371,11,7268,2
2026-09-01 20:54:50,0,success,0,146000,500,6,9190,7,4065,10,12371,11,7246,2
2026-09-01 20:55:50,0,success,0,146000,500,6,9190,7,4020,10,12371,11,7202,2
2026-09-01 20:56:49,0,success,0,146000,500,6,9190,7,3998,10,12371,11,7180,2
2026-09-01 20:57:49,0,success,0,146000,500,6,9190,7,3976,10,12371,11,7158,2
2026-09-01 20:58:49,0,success,0,146000,500,6,9190,7,3932,10,12371,11,7113,2
2026-09-01 20:59:49,0,success,0,146000,500,6,9190,7,3910,10,12371,11,7091,2
2026-09-01 21:00:50,0,success,0,146000,500,6,9190,7,3888,10,12371,11,7069,2
2026-09-01 21:01:50,0,success,0,146000,500,6,9190,7,3844,10,12371,11,7025,2
2026-09-01 21:02:49,0,success,0,146000,500,6,9190,7,3799,10,12371,11,6981,2
2026-09-01 21:03:49,0,success,0,146000,500,6,9190,7,3755,10,12371,11,6937,2
2026-09-01 21:04:49,0,success,0,146000,500,6,9190,7,3711,10,12371,11,6892,2
2026-09-01 21:05:49,0,success,0,146000,500,6,9190,7,3667,10,12371,11,6848,2
2026-09-01 21:06:50,0,success,0,146000,500,6,9190,7,3645,10,12371,11,6826,2
2026-09-01 21:07:49,0,success,0,146000,500,6,9190,7,3623,10,12371,11,6804,2
2026-09-01 21:08:49,0,success,0,146000,500,6,9190,7,3579,10,12371,11,6760,2
2026-09-01 21:09:49,0,success,0,146000,500,6,9190,7,3534,10,12371,11,6716,2
2026-09-01 21:10:49,0,success,0,146000,500,6,9190,7,3490,10,12371,11,6672,2
2026-09-01 21:11:49,0,success,0,146000,500,6,9190,7,3446,10,12371,11,6627,2
2026-09-01 21:12:50,0,success,0,146000,500,6,9190,7,3402,10,12371,11,6583,2
2026-09-01 21:13:50,0,success,0,146000,500,6,9190,7,3380,10,12371,11,6561,2
2026-09-01 21:14:49,0,success,0,146000,500,6,9190,7,3358,10,12371,11,6539,2
2026-09-01 21:15:49,0,success,0,146000,500,6,9190,7,3291,10,12371,11,6473,2
2026-09-01 21:16:49,0,success,0,146000,500,6,9190,7,3247,10,12371,11,6428,2
2026-09-01 21:17:50,0,success,0,146000,500,6,9190,7,3203,10,12371,11,6384,2
2026-09-01 21:18:50,0,success,0,146000,500,6,9190,7,3181,10,12371,11,6362,2
2026-09-01 21:19:49,0,success,0,146000,500,6,9190,7,3137,10,12371,11,6318,2
2026-09-01 21:20:49,0,success,0,146000,500,6,9190,7,3115,10,12371,11,6296,2
2026-09-01 21:21:49,0,success,0,146000,500,6,9190,7,3092,10,12371,11,6274,2
2026-09-01 21:22:49,0,success,0,146000,500,6,9190,7,3026,10,12371,11,6208,2
2026-09-01 21:23:49,0,success,0,146000,500,6,9190,7,3004,10,12371,11,6185,2
2026-09-01 21:24:49,0,success,0,146000,500,6,9190,7,2960,10,12371,11,6141,2
2026-09-01 21:25:50,0,success,0,146000,500,6,9190,7,2916,10,12371,11,6097,2
2026-09-01 21:26:50,0,success,0,146000,500,6,9190,7,2872,10,12371,11,6053,2
2026-09-01 21:27:49,0,success,0,146000,500,6,9190,7,2827,10,12371,11,6009,2
2026-09-01 21:28:49,0,success,0,146000,500,6,9190,7,2827,10,12371,11,6009,2
2026-09-01 21:29:49,0,success,0,146000,500,6,9190,7,2761,10,12371,11,5942,2
2026-09-01 21:30:50,0,success,0,146000,500,6,9190,7,2739,10,12371,11,5920,2
2026-09-01 21:31:50,0,success,0,146000,500,6,9190,7,2695,10,12371,11,5876,2
2026-09-01 21:32:49,0,success,0,146000,500,6,9190,7,2651,10,12371,11,5832,2
2026-09-01 21:33:49,0,success,0,146000,500,6,9190,7,2606,10,12371,11,5788,2
2026-09-01 21:34:49,0,success,0,146000,500,6,9190,7,2584,10,12371,11,5766,2
2026-09-01 21:35:49,0,success,0,146000,500,6,9190,7,2584,10,12371,11,5766,2
2026-09-01 21:36:49,0,success,0,146000,500,6,9190,7,2518,10,12371,11,5699,2
2026-09-01 21:37:50,0,success,0,146000,500,6,9190,7,2474,10,12371,11,5655,2
2026-09-01 21:38:50,0,success,0,146000,500,6,9190,7,2452,10,12371,11,5633,2
2026-09-01 21:39:49,0,success,0,146000,500,6,9190,7,2408,10,12371,11,5589,2
2026-09-01 21:40:49,0,success,0,146000,500,6,9190,7,2363,10,12371,11,5545,2
2026-09-01 21:41:49,0,success,0,146000,500,6,9190,7,2363,10,12371,11,5545,2
