timestamp_pacific,test_elapsed_seconds,event_id,event,status,details
2026-08-09T13:14:19.062-07:00,0.000,,run_created,ok,"{""run_directory"":""/home/pi/conformance_testing_team/saved_data/conformance_runs/WH-4/run_2026_08_09_131419_PDT"",""water_output_enabled"":true,""outside_communication_heartbeat_enabled"":true}"
2026-08-09T13:14:19.266-07:00,0.205,,power_monitor,ready,"{""pid"":30653}"
2026-08-09T13:14:20.288-07:00,1.227,,cta_controller,started,"{""pid"":30654}"
2026-08-09T13:14:20.289-07:00,-14.711,,test_start_scheduled,pending,"{""test_start_pacific"":""2026-08-09T13:14:35.000-07:00""}"
2026-08-09T13:14:35.120-07:00,0.121,,test_started,ok,{}
2026-08-09T15:14:35.169-07:00,7200.170,water_draw_1,water_draw_started,started,"{""pid"":30814,""target_volume_gal"":15.0}"
2026-08-09T15:21:46.778-07:00,7631.779,water_draw_1,water_draw_completed,ok,"{""return_code"":0}"
2026-08-09T15:44:35.173-07:00,9000.173,water_draw_2,water_draw_started,started,"{""pid"":30864,""target_volume_gal"":2.0}"
2026-08-09T15:45:31.908-07:00,9056.908,water_draw_2,water_draw_completed,ok,"{""return_code"":0}"
2026-08-09T16:54:35.032-07:00,13200.032,water_draw_3,water_draw_started,started,"{""pid"":30956,""target_volume_gal"":9.0}"
2026-08-09T16:58:54.630-07:00,13459.631,water_draw_3,water_draw_completed,ok,"{""return_code"":0}"
2026-08-09T19:14:35.075-07:00,21600.075,,cta_return_to_normal,requested,{}
2026-08-09T19:14:37.747-07:00,21602.748,,cta_return_to_normal,completed,"{""return_code"":0}"
2026-08-09T19:14:37.812-07:00,21602.813,,power_monitor_shutdown,stopped,{}
2026-08-09T19:14:37.813-07:00,21602.813,,run_finished,completed,{}
