timestamp_pacific,monitor_elapsed_seconds,status,record_reason,voltage_rms,current_rms,real_power,reactive_power,apparent_power,power_factor
2026-08-02T10:13:34.157-07:00,0.001,ok,initial_sample,244.322,0.137,2.134,36.284,36.817,0.058
2026-08-02T10:13:37.168-07:00,3.008,ok,current_change|heater_off,244.302,0.000,1.067,28.814,29.347,-0.018
2026-08-02T10:13:38.175-07:00,4.015,ok,current_change|heater_on,244.473,0.142,1.067,37.351,30.948,0.034
2026-08-02T10:13:42.199-07:00,8.039,ok,current_change,244.424,0.158,3.202,42.153,42.687,0.074
2026-08-02T10:13:43.205-07:00,9.045,ok,current_change|heater_off,244.194,0.000,2.134,28.280,28.814,-0.055
2026-08-02T10:13:44.212-07:00,10.052,ok,current_change|heater_on,244.170,0.145,1.067,30.948,31.481,0.033
2026-08-02T10:13:45.218-07:00,11.058,ok,current_change|heater_off,244.180,0.000,0.000,25.078,25.612,0.021
2026-08-02T10:13:47.231-07:00,13.071,ok,current_change|heater_on,244.067,0.137,4.269,36.284,36.817,0.115
2026-08-02T10:13:48.238-07:00,14.078,ok,current_change|heater_off,244.204,0.000,2.134,31.481,32.015,0.083
2026-08-02T10:13:49.245-07:00,15.085,ok,current_change|heater_on,244.434,0.150,3.202,40.019,26.679,-0.060
2026-08-02T10:13:52.263-07:00,18.103,ok,current_change|heater_off,244.209,0.000,1.067,34.683,35.217,0.030
2026-08-02T10:13:54.278-07:00,20.118,ok,current_change|heater_on,244.566,0.143,2.134,37.884,38.418,0.055
2026-08-02T10:13:56.290-07:00,22.130,ok,current_change|heater_off,244.556,0.000,8.537,34.149,35.217,0.242
2026-08-02T10:13:59.308-07:00,25.149,ok,current_change|heater_on,244.282,0.133,7.470,34.683,35.750,0.224
2026-08-02T10:14:00.315-07:00,26.155,ok,current_change|heater_off,244.410,0.000,7.470,34.149,35.217,0.227
2026-08-02T10:14:02.327-07:00,28.167,ok,current_change|heater_on,244.434,0.137,6.403,35.750,36.817,0.174
2026-08-02T10:14:04.340-07:00,30.180,ok,current_change,244.419,0.170,10.672,44.287,45.888,0.244
2026-08-02T10:14:05.347-07:00,31.187,ok,current_change|heater_off,244.390,0.000,6.403,29.347,40.019,0.199
2026-08-02T10:14:06.354-07:00,32.194,ok,current_change|heater_on,244.121,0.152,9.605,38.952,40.552,0.250
2026-08-02T10:14:07.360-07:00,33.200,ok,current_change|heater_off,244.258,0.000,8.537,32.549,34.149,0.266
2026-08-02T10:14:09.373-07:00,35.213,ok,current_change|heater_on,244.185,0.148,9.605,38.418,40.019,0.253
2026-08-02T10:14:10.379-07:00,36.220,ok,current_change|heater_off,244.131,0.000,10.672,33.082,35.217,0.303
2026-08-02T10:14:15.409-07:00,41.249,ok,current_change|heater_on,244.600,0.142,7.470,36.817,37.884,0.211
2026-08-02T10:14:17.421-07:00,43.261,ok,current_change|heater_off,244.483,0.000,8.537,32.015,33.616,0.254
2026-08-02T10:14:18.428-07:00,44.268,ok,current_change|heater_on,244.556,0.133,9.605,34.149,35.750,0.269
2026-08-02T10:14:19.434-07:00,45.274,ok,current_change|heater_off,244.278,0.000,9.605,33.616,38.952,0.273
2026-08-02T10:14:27.481-07:00,53.322,ok,current_change|power_change|heater_on,244.072,0.868,92.844,215.568,234.777,0.395
2026-08-02T10:14:29.494-07:00,55.334,ok,current_change,244.058,0.953,116.321,229.975,257.721,0.451
2026-08-02T10:14:30.500-07:00,56.340,ok,current_change,244.341,0.973,117.389,235.311,263.057,0.445
2026-08-02T10:14:31.507-07:00,57.347,ok,current_change,244.639,0.956,107.784,234.777,258.788,0.416
2026-08-02T10:14:32.513-07:00,58.354,ok,current_change,244.043,0.983,112.053,240.646,265.725,0.421
2026-08-02T10:14:33.521-07:00,59.361,ok,current_change,244.023,1.048,117.389,257.188,282.800,0.415
2026-08-02T10:14:34.527-07:00,60.368,ok,current_change,244.341,1.071,110.985,267.326,289.736,0.383
2026-08-02T10:14:35.534-07:00,61.374,ok,current_change,244.111,1.106,115.254,275.329,298.807,0.387
2026-08-02T10:14:37.546-07:00,63.387,ok,current_change,244.214,1.136,114.187,284.934,307.344,0.371
2026-08-02T10:14:39.560-07:00,65.400,ok,current_change,244.351,1.186,116.321,299.341,321.218,0.361
2026-08-02T10:14:40.567-07:00,66.407,ok,current_change,244.160,1.158,112.053,292.404,313.214,0.357
2026-08-02T10:14:41.574-07:00,67.414,ok,current_change,244.302,1.178,112.053,297.740,318.550,0.352
2026-08-02T10:14:43.586-07:00,69.426,ok,current_change,244.380,1.214,113.120,308.412,328.688,0.344
2026-08-02T10:14:48.616-07:00,74.456,ok,current_change,244.106,1.256,109.918,321.218,339.893,0.323
2026-08-02T10:14:49.623-07:00,75.464,ok,current_change,244.390,1.287,109.918,330.289,354.833,0.316
2026-08-02T10:14:50.630-07:00,76.470,ok,current_change,244.111,1.339,110.985,344.695,362.304,0.308
2026-08-02T10:14:51.636-07:00,77.477,ok,current_change,244.102,1.381,113.120,355.367,373.509,0.304
2026-08-02T10:14:54.655-07:00,80.495,ok,current_change,244.405,1.401,108.851,362.837,379.378,0.288
2026-08-02T10:14:55.661-07:00,81.501,ok,current_change,244.419,1.366,105.650,353.766,369.774,0.287
2026-08-02T10:14:56.668-07:00,82.508,ok,current_change,244.131,1.397,113.120,360.169,377.778,0.301
2026-08-02T10:15:00.692-07:00,86.532,ok,current_change,244.077,1.364,104.582,353.233,368.707,0.284
2026-08-02T10:15:01.698-07:00,87.538,ok,current_change,243.960,1.401,108.851,362.837,378.845,0.287
2026-08-02T10:15:06.728-07:00,92.568,ok,current_change,244.209,1.421,112.053,367.106,386.315,0.295
2026-08-02T10:15:07.735-07:00,93.575,ok,current_change,244.092,1.439,112.053,371.908,388.983,0.289
2026-08-02T10:15:08.741-07:00,94.582,ok,current_change,244.278,1.417,110.985,366.572,383.647,0.290
2026-08-02T10:15:15.783-07:00,101.623,ok,current_change,244.136,1.447,107.784,367.106,383.113,0.281
2026-08-02T10:15:17.795-07:00,103.635,ok,current_change,244.351,1.429,112.053,369.774,386.848,0.289
2026-08-02T10:15:19.808-07:00,105.648,ok,current_change,244.111,1.462,116.321,377.244,395.386,0.295
2026-08-02T10:15:20.814-07:00,106.654,ok,current_change,244.092,1.417,109.918,366.572,395.919,0.293
2026-08-02T10:15:22.828-07:00,108.668,ok,current_change,244.077,1.462,113.120,378.845,395.386,0.285
2026-08-02T10:15:25.846-07:00,111.686,ok,current_change,244.243,1.444,112.053,374.042,390.584,0.286
2026-08-02T10:15:27.860-07:00,113.700,ok,current_change,244.004,1.481,113.120,383.647,400.188,0.282
2026-08-02T10:15:30.878-07:00,116.718,ok,current_change,243.974,1.457,110.985,377.244,393.785,0.282
2026-08-02T10:15:31.886-07:00,117.726,ok,current_change,244.199,1.477,116.321,382.046,399.655,0.291
2026-08-02T10:15:34.904-07:00,120.744,ok,current_change,243.979,1.461,107.784,379.378,394.852,0.272
2026-08-02T10:15:35.910-07:00,121.750,ok,current_change,243.896,1.486,113.120,385.248,401.789,0.281
2026-08-02T10:15:45.971-07:00,131.811,ok,current_change,244.067,1.506,117.389,389.516,407.125,0.289
2026-08-02T10:15:46.977-07:00,132.817,ok,current_change,244.238,1.471,109.918,382.046,398.054,0.277
2026-08-02T10:15:52.007-07:00,137.847,ok,current_change,244.287,1.506,115.254,390.584,407.658,0.282
2026-08-02T10:15:54.019-07:00,139.860,ok,current_change,243.911,1.481,110.985,384.181,400.188,0.276
2026-08-02T10:15:55.026-07:00,140.866,ok,current_change,243.960,1.457,108.851,378.311,393.785,0.276
2026-08-02T10:15:56.032-07:00,141.872,ok,current_change,244.106,1.506,113.120,390.584,407.125,0.278
2026-08-02T10:15:57.039-07:00,142.879,ok,current_change,244.190,1.479,115.254,382.580,400.188,0.289
2026-08-02T10:16:01.064-07:00,146.904,ok,current_change,244.248,1.501,110.985,383.113,399.121,0.279
2026-08-02T10:16:06.094-07:00,151.934,ok,current_change,244.028,1.474,112.053,382.046,398.587,0.280
2026-08-02T10:16:08.107-07:00,153.947,ok,current_change,243.950,1.492,113.120,386.848,403.390,0.281
2026-08-02T10:16:12.131-07:00,157.971,ok,current_change,244.058,1.464,109.918,379.912,395.919,0.278
2026-08-02T10:16:13.139-07:00,158.979,ok,current_change,244.038,1.509,112.053,392.184,408.192,0.274
2026-08-02T10:16:14.146-07:00,159.986,ok,current_change,244.405,1.487,112.053,386.315,402.856,0.279
2026-08-02T10:16:25.210-07:00,171.050,ok,current_change,244.444,1.462,110.985,379.378,395.919,0.281
2026-08-02T10:16:38.286-07:00,184.127,ok,current_change,244.331,1.407,110.985,363.904,380.979,0.292
2026-08-02T10:16:40.299-07:00,186.139,ok,current_change,244.018,1.432,110.985,370.841,387.382,0.287
2026-08-02T10:16:41.307-07:00,187.147,ok,current_change,244.043,1.407,112.053,363.371,380.445,0.296
2026-08-02T10:16:43.319-07:00,189.159,ok,current_change,243.891,1.424,110.985,368.173,384.714,0.288
2026-08-02T10:16:53.378-07:00,199.218,ok,current_change,244.253,1.401,112.053,361.770,378.845,0.295
2026-08-02T10:16:56.396-07:00,202.236,ok,current_change,243.930,1.437,118.456,369.774,388.449,0.305
2026-08-02T10:16:59.415-07:00,205.255,ok,current_change,244.087,1.404,114.187,361.770,379.912,0.302
2026-08-02T10:17:00.421-07:00,206.261,ok,current_change,244.077,1.439,112.053,371.908,388.983,0.289
2026-08-02T10:17:05.451-07:00,211.291,ok,current_change,243.960,1.401,109.918,362.304,388.983,0.299
2026-08-02T10:17:06.458-07:00,212.298,ok,current_change,243.921,1.437,107.784,372.975,388.449,0.277
2026-08-02T10:17:13.499-07:00,219.339,ok,current_change,244.204,1.456,115.254,376.177,393.785,0.294
2026-08-02T10:17:15.512-07:00,221.352,ok,current_change,244.116,1.431,110.985,370.307,386.848,0.288
2026-08-02T10:17:16.518-07:00,222.358,ok,current_change,244.190,1.451,113.120,375.643,386.315,0.280
2026-08-02T10:17:18.530-07:00,224.370,ok,current_change,243.862,1.472,116.321,380.445,398.054,0.292
2026-08-02T10:17:21.548-07:00,227.389,ok,current_change,243.916,1.446,112.053,374.042,390.584,0.286
2026-08-02T10:17:22.555-07:00,228.395,ok,current_change,244.126,1.464,109.918,373.509,389.516,0.283
2026-08-02T10:17:26.579-07:00,232.419,ok,current_change,244.180,1.441,105.650,375.110,390.050,0.271
2026-08-02T10:17:27.587-07:00,233.427,ok,current_change,244.185,1.476,116.321,381.513,396.987,0.292
2026-08-02T10:17:31.611-07:00,237.451,ok,current_change,244.126,1.444,109.918,374.576,390.584,0.281
2026-08-02T10:17:34.629-07:00,240.469,ok,current_change,244.155,1.476,118.456,380.445,399.121,0.298
2026-08-02T10:17:36.642-07:00,242.482,ok,current_change,243.882,1.492,115.254,385.248,402.322,0.286
2026-08-02T10:17:37.648-07:00,243.488,ok,current_change,244.185,1.461,104.582,380.979,395.386,0.266
2026-08-02T10:17:40.666-07:00,246.506,ok,current_change,244.087,1.494,117.389,386.315,403.923,0.290
2026-08-02T10:17:50.725-07:00,256.565,ok,current_change,244.150,1.471,115.254,380.979,398.054,0.289
2026-08-02T10:17:52.737-07:00,258.578,ok,current_change,244.209,1.504,117.389,389.516,407.125,0.288
2026-08-02T10:17:53.744-07:00,259.584,ok,current_change,244.263,1.487,108.851,386.848,405.524,0.273
2026-08-02T10:17:58.774-07:00,264.614,ok,current_change,243.930,1.512,115.254,391.651,408.725,0.281
