event_id,timestamp_pacific,draw_elapsed_seconds,status,stop_reason,valve_state,target_volume_gal,accumulated_volume_gal,flow_gpm,hot_temp_c,hot_temp_f,cold_temp_c,cold_temp_f,ambient_temp_c,ambient_temp_f,hot_raw_counts,cold_raw_counts,flow_raw_counts,ambient_raw_counts,cold_source_station,cold_source_timestamp_pacific
water_draw_3,2026-08-09T16:54:36.949-07:00,1.206,drawing,,open,9.0,0.004122,0.205104,28.44,83.19,35.00,95.00,24.30,75.74,1233,1296,481,243,WH-station1,2026-08-09T16:54:36.948-07:00
water_draw_3,2026-08-09T16:54:37.451-07:00,2.208,drawing,,open,9.0,0.045494,2.476458,28.23,82.81,34.69,94.44,24.50,76.10,1231,1293,926,245,WH-station1,2026-08-09T16:54:37.450-07:00
water_draw_3,2026-08-09T16:54:37.953-07:00,2.711,drawing,,open,9.0,0.064657,2.287604,28.12,82.62,34.69,94.44,24.30,75.74,1230,1293,889,243,WH-station1,2026-08-09T16:54:37.952-07:00
water_draw_3,2026-08-09T16:54:38.455-07:00,3.213,drawing,,open,9.0,0.085424,2.481563,28.02,82.44,34.79,94.62,24.40,75.92,1229,1294,927,244,WH-station1,2026-08-09T16:54:38.454-07:00
water_draw_3,2026-08-09T16:54:38.957-07:00,3.715,drawing,,open,9.0,0.105076,2.348854,28.12,82.62,34.79,94.62,24.40,75.92,1230,1294,901,244,WH-station1,2026-08-09T16:54:38.956-07:00
water_draw_3,2026-08-09T16:54:39.459-07:00,4.217,drawing,,open,9.0,0.124515,2.323333,28.23,82.81,34.79,94.62,24.30,75.74,1231,1294,896,243,WH-station1,2026-08-09T16:54:39.458-07:00
water_draw_3,2026-08-09T16:54:39.961-07:00,4.719,drawing,,open,9.0,0.143952,2.323333,28.02,82.44,34.69,94.44,24.40,75.92,1229,1293,896,244,WH-station1,2026-08-09T16:54:39.960-07:00
water_draw_3,2026-08-09T16:54:40.467-07:00,5.221,drawing,,open,9.0,0.163263,2.308021,27.81,82.06,35.00,95.00,24.40,75.92,1227,1296,893,244,WH-station1,2026-08-09T16:54:40.464-07:00
water_draw_3,2026-08-09T16:54:41.002-07:00,5.727,drawing,,open,9.0,0.182461,2.277396,28.02,82.44,34.58,94.25,24.30,75.74,1229,1292,887,243,WH-station1,2026-08-09T16:54:40.968-07:00
water_draw_3,2026-08-09T16:54:41.538-07:00,6.262,drawing,,open,9.0,0.202917,2.292708,27.81,82.06,34.69,94.44,24.20,75.56,1227,1293,890,242,WH-station1,2026-08-09T16:54:41.473-07:00
water_draw_3,2026-08-09T16:54:42.077-07:00,6.797,drawing,,open,9.0,0.223095,2.262083,27.81,82.06,34.48,94.06,24.20,75.56,1227,1291,884,242,WH-station1,2026-08-09T16:54:41.978-07:00
water_draw_3,2026-08-09T16:54:42.595-07:00,7.337,drawing,,open,9.0,0.243709,2.292708,27.81,82.06,35.10,95.19,24.30,75.74,1227,1297,890,243,WH-station1,2026-08-09T16:54:42.483-07:00
water_draw_3,2026-08-09T16:54:43.113-07:00,7.855,drawing,,open,9.0,0.263420,2.282500,27.71,81.88,34.90,94.81,24.30,75.74,1226,1295,888,243,WH-station1,2026-08-09T16:54:42.988-07:00
water_draw_3,2026-08-09T16:54:43.618-07:00,8.373,drawing,,open,9.0,0.283086,2.277396,28.02,82.44,34.38,93.88,24.30,75.74,1229,1290,887,243,WH-station1,2026-08-09T16:54:43.493-07:00
water_draw_3,2026-08-09T16:54:44.123-07:00,8.878,drawing,,open,9.0,0.302284,2.282500,27.92,82.25,35.10,95.19,24.40,75.92,1228,1297,888,244,WH-station1,2026-08-09T16:54:43.998-07:00
water_draw_3,2026-08-09T16:54:44.627-07:00,9.382,drawing,,open,9.0,0.321401,2.272292,27.92,82.25,35.21,95.38,24.40,75.92,1228,1298,886,244,WH-station1,2026-08-09T16:54:44.503-07:00
water_draw_3,2026-08-09T16:54:45.132-07:00,9.887,drawing,,open,9.0,0.340600,2.282500,28.02,82.44,34.90,94.81,24.40,75.92,1229,1295,888,244,WH-station1,2026-08-09T16:54:45.006-07:00
water_draw_3,2026-08-09T16:54:45.637-07:00,10.392,drawing,,open,9.0,0.359718,2.272292,28.02,82.44,34.58,94.25,24.40,75.92,1229,1292,886,244,WH-station1,2026-08-09T16:54:45.507-07:00
water_draw_3,2026-08-09T16:54:46.142-07:00,10.897,drawing,,open,9.0,0.378790,2.267188,28.54,83.38,35.10,95.19,24.20,75.56,1234,1297,885,242,WH-station1,2026-08-09T16:54:46.009-07:00
water_draw_3,2026-08-09T16:54:46.646-07:00,11.401,drawing,,open,9.0,0.397907,2.272292,28.75,83.75,34.58,94.25,24.40,75.92,1236,1292,886,244,WH-station1,2026-08-09T16:54:46.511-07:00
water_draw_3,2026-08-09T16:54:47.151-07:00,11.906,drawing,,open,9.0,0.416976,2.267188,29.06,84.31,35.00,95.00,24.30,75.74,1239,1296,885,243,WH-station1,2026-08-09T16:54:47.014-07:00
water_draw_3,2026-08-09T16:54:47.656-07:00,12.411,drawing,,open,9.0,0.435966,2.256979,29.48,85.06,34.69,94.44,24.40,75.92,1243,1293,883,244,WH-station1,2026-08-09T16:54:47.515-07:00
water_draw_3,2026-08-09T16:54:48.161-07:00,12.916,drawing,,open,9.0,0.454993,2.262083,30.00,86.00,35.00,95.00,24.20,75.56,1248,1296,884,242,WH-station1,2026-08-09T16:54:48.017-07:00
water_draw_3,2026-08-09T16:54:48.665-07:00,13.420,drawing,,open,9.0,0.474069,2.267188,30.42,86.75,34.90,94.81,24.40,75.92,1252,1295,885,244,WH-station1,2026-08-09T16:54:48.519-07:00
water_draw_3,2026-08-09T16:54:49.170-07:00,13.925,drawing,,open,9.0,0.492753,2.221250,30.94,87.69,34.79,94.62,24.30,75.74,1257,1294,876,243,WH-station1,2026-08-09T16:54:49.022-07:00
water_draw_3,2026-08-09T16:54:49.675-07:00,14.430,drawing,,open,9.0,0.511611,2.241667,31.15,88.06,34.79,94.62,24.30,75.74,1259,1294,880,243,WH-station1,2026-08-09T16:54:49.524-07:00
