timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,details
2026-07-26T18:13:16.080-07:00,,controller_started,internal,controller,started,,controller,,,,,,,
2026-07-26T18:13:16.086-07:00,,serial_open,internal,serial_port,ok,/dev/ttyUSB0,controller,,,,,,,
2026-07-26T18:13:16.086-07:00,,communication_started,internal,cta2045,started,,controller,,,,,,,
2026-07-26T18:13:16.087-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:13:16.240-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:13:16.409-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:13:16.409-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:13:16.560-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:13:16.656-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:13:16.696-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:13:17.696-07:00,auto_outside_comm_for_load_up_1,command_sent,outbound,outside_communication,pending,0,schedule,14,0,,,,,
2026-07-26T18:13:17.744-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,
2026-07-26T18:13:17.856-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,
2026-07-26T18:13:17.896-07:00,auto_outside_comm_for_load_up_1,command_completed,outbound,outside_communication,ok,0,schedule,14,0,,,,,
2026-07-26T18:13:32.907-07:00,load_up_1,command_sent,outbound,load_up,pending,13,schedule,23,13,,,,,
2026-07-26T18:13:32.973-07:00,,link_ack,inbound,load_up,ack,,link_layer,23,,,,,,
2026-07-26T18:13:33.085-07:00,,application_ack,inbound,load_up,ack,,application_layer,3,23,,,,,
2026-07-26T18:13:33.126-07:00,load_up_1,command_completed,outbound,load_up,ok,13,schedule,23,13,,,,,
2026-07-26T18:14:16.151-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:14:16.262-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:14:16.432-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:14:16.433-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:14:16.582-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:14:16.693-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:14:16.734-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:15:16.766-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:15:16.907-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:15:17.078-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
